需求编号,需求名称,指标,评分,原因与证据
1. 初始启动功能,初始启动功能,Unambiguous（无歧义）,5,需求明确初始启动时工具区域、编辑区域、提示区域的唯一状态（显示矩形、第一个图层、“第一页”提示），无多种解读，符合“只有一种可能的解释”定义。
1. 初始启动功能,初始启动功能,Understandable（易懂）,5,表述直白，按区域分点说明初始状态，无专业术语障碍，所有SRS读者（开发、测试等）可轻松理解，符合“最少解释即可 comprehend”定义。
1. 初始启动功能,初始启动功能,Correctness（正确性）,5,准确反映图形编辑器初始启动的必需状态，是系统基础功能，无错误表述，符合“准确代表系统必需特性”定义。
1. 初始启动功能,初始启动功能,Verifiable（可验证）,5,可通过“启动软件→检查三个区域状态”验证，方法有限、经济有效，符合“有限成本验证技术”定义。
2. 创建图形功能,创建图形功能,Unambiguous（无歧义）,5,按“选择图形类型→按下-拖动-释放→绘制图形”流程描述，每个步骤和结果唯一，无模糊表述，符合“只有一种可能的解释”定义。
2. 创建图形功能,创建图形功能,Understandable（易懂）,5,以用户操作逻辑为顺序，语言通俗，步骤清晰，所有SRS读者可快速把握核心，符合“最少解释即可 comprehend”定义。
2. 创建图形功能,创建图形功能,Correctness（正确性）,5,准确描述图形编辑器核心创建功能，操作流程和结果符合用户需求，无错误表述，符合“准确代表系统必需特性”定义。
2. 创建图形功能,创建图形功能,Verifiable（可验证）,5,可通过“选择图形→拖动鼠标→检查虚线动态效果和最终图形”验证，方法具体可操作，符合“有限成本验证技术”定义。
3. 选择图形功能,选择图形功能,Unambiguous（无歧义）,5,明确四种选择场景（单点图形、叠加图形、区域选择、取消选择），每种场景的操作和结果唯一，无歧义，符合“只有一种可能的解释”定义。
3. 选择图形功能,选择图形功能,Understandable（易懂）,5,分场景用分号分隔描述，逻辑清晰，通过“例如”补充叠加场景，表述直观，所有SRS读者可轻松理解，符合“最少解释即可 comprehend”定义。
3. 选择图形功能,选择图形功能,Correctness（正确性）,5,覆盖选择图形的核心场景（单点、多选、区域选、取消选），是后续编辑功能的基础，无错误表述，符合“准确代表系统必需特性”定义。
3. 选择图形功能,选择图形功能,Verifiable（可验证）,5,可通过四种场景分别操作验证（如点击叠加图形→检查多选结果），方法有限且经济，符合“有限成本验证技术”定义。
4. 删除图形功能,删除图形功能,Unambiguous（无歧义）,5,明确“先选择→点击删除按钮→删除图形”的唯一流程，结果为“解除隶属关系”，无多种解读，符合“只有一种可能的解释”定义。
4. 删除图形功能,删除图形功能,Understandable（易懂）,5,以“先...再...”句式明确操作顺序，语言通俗，无复杂术语，所有SRS读者可快速理解，符合“最少解释即可 comprehend”定义。
4. 删除图形功能,删除图形功能,Correctness（正确性）,5,准确描述图形编辑的基础删除功能，操作前提和结果符合系统需求，无错误表述，符合“准确代表系统必需特性”定义。
4. 删除图形功能,删除图形功能,Verifiable（可验证）,5,可通过“选择图形→点击删除按钮→检查图形是否消失”验证，方法简单有效，符合“有限成本验证技术”定义。
5. 改变图形尺寸功能,改变图形尺寸功能,Unambiguous（无歧义）,5,明确两种调整方式（拖动控制点、点击放大/缩小按钮），操作和结果唯一，无歧义，符合“只有一种可能的解释”定义。
5. 改变图形尺寸功能,改变图形尺寸功能,Understandable（易懂）,5,分两种方式简洁描述，操作对象明确，无专业术语，所有SRS读者可轻松理解，符合“最少解释即可 comprehend”定义。
5. 改变图形尺寸功能,改变图形尺寸功能,Correctness（正确性）,5,准确覆盖尺寸调整的核心操作，符合图形编辑器的必需功能，无错误表述，符合“准确代表系统必需特性”定义。
5. 改变图形尺寸功能,改变图形尺寸功能,Verifiable（可验证）,5,可通过两种方式分别操作验证（如拖动控制点→检查尺寸变化），方法具体可行，符合“有限成本验证技术”定义。
6. 移动图形功能,移动图形功能,Unambiguous（无歧义）,5,明确两种移动场景（拖动图形、移动编辑器），操作和结果唯一，无歧义，符合“只有一种可能的解释”定义。
6. 移动图形功能,移动图形功能,Understandable（易懂）,5,分场景描述，逻辑清晰，语言通俗，所有SRS读者可轻松理解，符合“最少解释即可 comprehend”定义。
6. 移动图形功能,移动图形功能,Correctness（正确性）,5,准确描述图形移动和编辑器移动时的状态保持，是系统必需功能，无错误表述，符合“准确代表系统必需特性”定义。
