item,text
R1,"All software will be maintained under a version control system, and must include facilities for easy (nearly automatic) inclusion into the Gemini software environment."
R2,They may or may not be collocated with any administrative organization associated with the Gemini telescopes.
R3,"Support Maintenance, test Monitoring, operation, test- ing Must allow full access to all subsystems."
R4,"It should also be noted that what the system has to guarantee in terms of operations must ful®ll all possible requirements, but it does not mean that all features will be made available to all users at all locations at all times."
R5,"To allow observing astronomers to achieve this objective, the system must offer to a user an interface which, while ful®lling the various operational requirements in the different modes and offering status information both automatically and on request at any required level, is still simple to learn and secure in its use. · Privileges Developer Maintenance, test Monitoring, testing Must allow full access to each subsystem in test."
R6,USER-LEVEL REQUIREMENTS Observing astronomers shall have no privileges as far as the direct control of the telescope is concerned.
R7,They shall not be able to send control commands directly but they must be able to enquire about the status of the telescope or any subsystem at any time.
R8,"Astronomers are typically given control access to instruments, however. · Operation mode Traditional interactive operation shall normally be replaced by operation via an automatic sequencer."
R9,"A certain degree of interaction shall be provided, meaning in this case that the user will interact with the scheduler program, rather than with the control programs directly."
R10,It must also be possible to break and resequence this queue. e.g. as a result of the quality assessment of previous data.
R11,"In particular, Operations staff will be able to enable direct interactive operation, but this shall not be considered as the normal operation mode for the reasons explained in Section 2.7 on page 2-12."
R12,"It is evident that, for some functions (such as adjustment of spectrograph slit width for seeing conditions) it must be necessary to include interactive capability."
R13,The existence of the scheduling queue shall be transparent to the on-site observer during the initial phases of telescope operation.
R14,They shall also monitor general performance and system safety. · Privileges Operations staff shall have privileges to access all commands and maintenance pro- cedures in case of problems.
R15,"However, they shall not have access to subsystems while these are in normal opera- tion."
R16,"If they need to access other parts of the system appropriate recon®guration pro- cedures have to be run. · Operation mode Operations staff shall have access to operation tables in update mode, while observ- ing astronomers will have access to them only in read mode (for example the list of ®lters mounted on an instrument)."
R17,"They shall be able to change the operational status of units according to the results of tests performed on such units (e.g. to see if a faulty unit can be declared as opera- tional again and rede®ned as part of the environment in use). · De®nition Software development and maintenance are staff: ·based either at the Gemini 8m Telescopes site or base facility, or ·based at the Gemini 8m Telescopes remote operations facility, or ·non Gemini staff from a contract company or from an associated Institute."
R18,Nevertheless strict con®guration control guidelines must be followed to prevent interference with ongoing normal operation. · Operation mode Software development and maintenance staff usually work at the test level (see Section 3.2.1.3 on page 3-4) for the part of the software under test.
R19,"Parallel access to all the mounted instruments shall be provided, though only one instru- ment has access to the telescope beam (active instrument)."
R20,"Various situations are possible for the other (inactive) instruments: ·they shall be able to take calibration or ¯at ®eld exposures in parallel ·they shall be able to prepare for an exposure to start as soon as the telescope beam is switched back to them (in this case, they are in a hot standby situation) ·they shall be able to work;"
R21,"Regardless of the status of an inactive instrument, it shall not be possible for any of its permitted actions to adversely impact the active instrument."
R22,In this case a subset of the available functionality must be made available through a standardized interface.
R23,Visitor instruments must be capable of operating in this mode to be adequately supported.
R24,It should be the goal of this interface that it be a subset of the existing instrumentation interface (rather than a separate system).
R25,"At a minimum this interface should support: ·acquisition of status information of instrument by other systems ·capability to enter preprogrammed observing sequences ·capability to offset the telescope position and focus It should be a goal, but not a requirement, that the interface provide support for ·coordinate transforms between visitor instrument and the Gemini system ·archiving (or archivibility) of visitor instrument data ·maintenance of operations tables (such as ®lter lists) which can become part of an observation©s permanent record"
R26,"However it must be recognized that: ·the Gemini standards may not prove cost effective for some visitor instruments ·the Gemini standards will evolve over time as requirements and technology change ·the evolution of Gemini standards might require existing visitor instruments to rewrite or rework large areas of their control system ·visitor instruments built later in time than the initial complement of Gemini instruments may want to take advantage of different and/or less expensive technology if it better suits the goals of their project For these reasons it is probably not possible to establish a combined standard to which all instruments, both Gemini and visitor, adhere to completely."
R27,"Independently of the location of users at the telescope site, they shall be able to access (according to their privileges) any part of the whole setup with a simple logon and con®guration operation."
R28,In other words. any subsection of the whole Gemini 8m Telescopes system should be accessible and controllable from any single point (but of course with protection ensuring security and safety).
R29,"Monitoring shall exist both in the form of automatic displays of status information at different locations, and in the form of explicit access to the required status informa- tion from any point."
R30,Monitoring shall not affect the performance of ongoing observations.
R31,"The observing program must be fully automated, requiring very little human interaction during the observation."
R32,The means that the Gemini software must include a suf®ciently rich programming environment to make this feasible.
R33,This simulator should function within the virtual telescope environment of the Gemini system.
R34,All control software must provide support for simulated use within the virtual telescope.
R35,"This software must consider target positions, weather conditions, and instrument con®gura- tions."
R36,"There must be software to support the ¯exible scheduling, both manually and via a scheduler, allowing for the interleaving of observing programs in a manner that is transparent to the individual observing programs."
R37,To maximize the use of the available observing time it must be possible to queue all of the observing that is possible with the currently available instruments.
R38,"The system design, if it does not include a scheduler, should speci®cally allow for its future implementation."
R39,All software should be developed to permit remote operations.
R40,There should be no conceptual difference between software working on-site and remotely.
R41,It must be possible to restrict speci®c operations to speci®c remote sites.
R42,"Despite the obvious limitations introduced by the link bandwidths available at the differ- ent locations, the system shall be totally transparent to local or remote use."
R43,However the system design should minimize the impact of link bandwidth on transparency.
R44,Security of operation shall be considered and might imply different operation levels and privileges at different sites.
R45,"This should reduce the amount of speci®c software needed for remote operations, as the common layers of soft- ware shall cope from the beginning with a distributed environment."
R46,"The philosophy behind this is that, for safety con- siderations, telescope control commands cannot be issued without a staff member (not necessarily the same person) having direct access to: ·a hard wired ªstopº button ·real time video and audio ·control of the telescope Remote observing means that users shall be able to observe from a remote site such as Cerro Tololo, Hilo or even home Institutes."
R47,Remote users shall normally interact with the system via ·operators at the Gemini 8m Telescopes control facility ·operators at the Gemini 8m Telescopes site facility ·operators at the Gemini 8m Telescopes base facility ·operators at the Gemini 8m Telescopes remote operations facility ·via the scheduler program and shall not control any part of the Gemini 8m Telescopes directly.
R48,"Remote access, in this case, must be possible from the Gemini 8m Telescopes base facility."
R49,"The observing program must be automated, requiring little human interaction during the observation."
R50,The means that the Gemini software must include a suf®ciently rich pro- gramming environment to make this feasible.
R51,This access may or may not be done concurrently on a shared environment.
R52,"So whichever scheme is adopted to perform automatic sequences, interaction shall be allowed at the desired level (for example, only on error conditions, any time the user is allowed to break a sequence, etc.)."
R53,"This can be achieved only with the help of appropriate scheduling software, which must advise the operations team on the best choice to make which is compatible with the relative priorities of the various observing programs."
R54,It should be recognized that such `expert scheduling' software does not currently exist - it should be a requirement of such software that it have an operational mode which merely supports the decision making process by presenting appropriate information.
R55,"All subsystems must respond to a common set of commands to test operational status, inquiries as to version, perform self-tests, etc."
R56,"All IOC subsystems must respond to additional common commands for such activities as start, stop, initialize, reset parameters, etc."
R57,"The support structure for communicating commands must be reliable, with a uniform ACK/NAK protocol adopted across all systems."
R58,Timeouts must be supported at approxi- mately 500 msec.
R59,"Handshaking of commands between IOCs must occur within 100-200 msec, signaling acceptance of each command."
R60,"For commands allowing delayed replies, timeouts for that reply must also be sup- ported."
R61,Data from detectors must be stored in the most effective method permit- ted by available technology.
R62,"For mosaicked, large optical detectors, a full readout of the detector must be done in about 2 or 3 minutes."
R63,"Since the Gemini system supports monitoring of operation, there must be the capability of providing multiple, simultaneous access to data."
R64,The LAN must sup- port a transfer rate of 20-40 Mbits/second.
R65,"The system data capacity is capable of retaining 7 days of data produced by the largest instrument, the last 3 days of which must be available interactively from hard disk or similar medium."
R66,The system must allow for fast transmission of rough images every 0.5 sec.
R67,"This high-quality transmission must require less than20 sec, and can only be assisted with loss-less compression."
R68,"To preserve the integrity of the system, there must be a system of privileges established at each operating level of the system."
