item,text
R1,"These UAVs shall include the Tactical Unmanned Aerial Vehicle (TUAV) and the Medium Altitude and Endurance (MAE) UAV (henceforth referred to as Outrider and Predator respectively), their associated payloads, and other network communication systems."
R2,TCS hardware must be scaleable or modular to meet varying Service needs.
R3,"The TCS shall consist of the TCS workstation Hardware Configuration Items (HWCIs), TCS Computer Software Configuration Items (CSCIs), and additional TCS Support HWCIs and CSCIs. [SSS004] All TCS HWCI’s and CSCI’s shall be Year 2000 compliant. [SSS567]."
R4,The TCS shall meet the applicable capability and characteristic criteria established by the Operational Requirements Document (ORD) CAF 003-90-I-A for the RQ-1A Predator Medium Altitude Endurance Unmanned Aerial Vehicle/System (MAE UAV) and the Close Range – Tactical Unmanned Aerial Vehicle (CR-TUAV). [SSS008] Appendix B and C identify applicable capability and characteristic criteria to TCS.
R5,"The TCS shall support 5 levels of UAV interaction: [SSS010] Level 1: receipt and transmission of secondary imagery and/or [as well as] data Level 2: direct receipt of imagery and/or [as well as] data Level 3: control of the UAV payload in addition to direct receipt of imagery/data Level 4: control of the UAV, less launch and recovery, plus all the functions of level three Level 5: capability to have full function and control of the UAV from takeoff to landing The TCS system shall provide software capabilities and hardware configurations necessary to fulfill the operational tasking requirements across the 5 levels of interaction. [SSS009] Table 3-2 identifies the payloads with which the TCS shall be interoperable. [SSS013] Table 3-2 Interoperable TCS Payloads"
R6,"The states of operation of the TCS shall include Startup, Operation, and Shutdown. [SSS014] The TCS states shall not exist concurrently. [SSS015] Figure 3.1-1 shows the existing states of the TCS."
R7,Upon application of power the TCS shall enter the Startup State. [SSS016] The Startup State shall be comprised of the following modes: Normal Startup Mode and Recovery Startup Mode. [SSS017] Figure 3.1.1-1 shows the modes that exist in the Startup State.
R8,"When the TCS Software is terminated normally the TCS shall enter the Normal Startup Mode of operation upon application of power. [SSS019] When the TCS software is halted due to an unplanned power interruption as well as abnormal program termination, then the TCS shall enter the Recovery Startup Mode upon application of power. [SSS020] During startup, the TCS shall determine which of the 5 levels of interaction are achievable by the TCS configuration. [SSS021] Levels of interaction higher than those achievable by a particular TCS configuration shall be prohibited. [SSS022] The TCS shall inform the operator if the operator attempts to execute a function prohibited as a result of the determined level of interaction. [SSS023]"
R9,"When executing in the Normal Startup Mode, the TCS shall provide the system functionality necessary to initialize the system to place it in the Operations State within 60 seconds from the time power is supplied and the TCS application is launched. [SSS024] Initialization of the TCS HWCIs shall include startup of HWCIs [SSS542], download of software [SSS026], startup of CSCIs [SSS02 7], execution of Startup FD/L [SSS025] , and establishment of the state of readiness of all interfaces. [SSS028]"
R10,The TCS in the Recovery Startup Mode shall provide the system functionality to resume the Operations State within 45 seconds. [SSS029]
R11,"Recovery of the TCS HWCIs shall include startup of HWCIs [SSS543], download of software [SSS544], startup of CSCIs [SSS545], and establishment of the state of readiness of all interfaces. [SSS546] The TCS shall be capable of automatically recording system state data, interface communications and other information necessary to support event reconstruction. [SSS528]"
R12,"DELETED**. [SSS030] For recovery from abnormal termination, TCS shall prompt the operator to select the type of recovery to be executed: (1)Resume in the Same Modes And Data;"
R13,"When in the Operations State the TCS shall be capable of operating in three modes : normal operations mode, training operations mode, and maintenance operations mode. [SSS032] Figure 3.1.2-1 shows the Mode Diagram for the Operations State of TCS."
