item,text
R1,The system must guide users throughout the interaction pr ocess quickly and effectively and it has to be designed to avoid cognitive overloads caused by information overflow.
R2,"A switch between modalities must not affect th e system operations, consequently there should be no need to re-initiate the dialog st atus."
R3,"Likewise, it should be possible to switch the current context without loosing perspective in case the system does not estimate the context properly."
R4,Better development tools to handle the speech system on an abstract level are required to improve the process of extending its rule database.
R5,Se condly the system needs to have a ``subtle notion'' of its services to guide users quickly and effectively.
R6,The terminal pro actively offers its servic es i.e. must be able to attract and help people.
R7,It must be self explic able and understand users' needs.
R8,It must also be able to handle context specific dialogs.
R9,Context switc hes must be supported at any state of the session and the system should offer alternatives and rank them by guessing its likelyhood.
R10,The information flow must be compat ible with average user capabilities to avoid cognitive overload.
R11,The system functionality should be extensible and able to be integrated into the simulation environment to interfac e existing and new features at the same time.
R12,"Besides this important user requirement, the second prototype of the tool should demonstrate code generation for a target platform, in this case the DVD player."
R13,"These specifications must be satisfied in addition to common image specifications with regard to resolution, colors etc."
R14,For performance reasons this VM is closely matched with the firmware. • The software (firmware) should be able to control all the available hardware and the hardware state should be accessible to the firmwar e and be exposed to the UI-Code. • The software architecture of the fi rmware should allow the extension with additional functionality.
R15,For the User Interface Editor: • The UI Editor should allow flexible creati on and modification of the user interface of the Vetronics application.
R16,"This must be done in an interactive and visual way. • The UI Editor should be ab le to communicate with the Vetronics hardware, to download the developed UI to the Vetr onics system for real use."
R17,"This communi cation module is also needed to obtain the system configuration from the Vector Unit. • The UI Editor should not only allow t he management of the UI of the Vetronics application, but should also support def inition of the behavior of the Vetronics system through the connection of real actions to UI elements. • The UI Editor itself shoul d be a powerful and user fri endly tool."
R18,To obtain this we must create an open framework on which we can Plug-In all functionality we desire.
R19,This means that we must develop/modify the User Interface using a separate program (UI-Editor) and downl oad it into the system in order to use the new User Interface.
R20,"For completeness, the most important re quirements are repeated below, with extensions/changes towards the second demonstrator: Hardware and firmware requirements: • Optimal Video performance on most popular video signals. • Environmental Specifications Compliance. • Event Driven Approach • The firmware should allow extensions of the functionality. • The software structure of the firmw are should be suitable for adding a ‘UI- interpreter’ (to interpret and visualize t he UI code generated by the UI Editor)."
R21,User Interface Editor: • System Configuration Wizard • Font authoring modalities • The UI Editor should allow the user to create/modi fy menus.
R22,Hereby the VM must support this event-driven approach and act as a transparent lin k between the generated UI-code and the hardware.
R23,This extension of the event-d riven approach raises design issues to be tackled. • The UI Editor should provide a co mpile step to generat e code on the development platform.
R24,"This is the way the OffLine adaptivity of the Vetronics system is based on. • In general, the UI Editor should be a user friendly and powerful development tool."
R25,So we must be able to support this wide (and growing) range of interfacing capabilities of our Vetronics hardware in our UI-Editor as kind of Plug-Ins.
R26,The most important data must be shown at the topmost level!
R27,"However, our Vector system should be able to communicate with all kinds of peripherals."
R28,"Simulation related specifications To make our UI-Editor complete, it must have a simulation module incorporated so we can try the complete system off-line on our development computer before loading the generated code into the Vector Syst em."
R29,"Because the adaptation is une xpected and may cause confusion, its occurrence must be well known and trained by the cockpit crew. • User-controlled self-adaptation: the decision to adapt is taken by the user, while all other tasks are automated."
R30,"In the case of self-adaptat ion, the pilot shall always be offered the opportunity to overrule the adaptation."
R31,"Furthermore, experts claim the o pportunity to overrule the system mental model, and in this respect the user interf ace needs to be altered."
R32,The adaptive interface shall adapt to t he situation and the pilot’s state and task.
R33,"Multimodality related specifications As indicated in the requirem ents, the second prototype shall incorporate an auditory warning signal, augmenting the visual channel."
