item,text
R1,"As defined in the ap- proach of CIGRE Working Group 34.03 into data flows within Substations. [3] Protocol The rules for communication system operation that must be fol- lowed if communication is to be effected. [2] Quality of Service (QoS) A set of characteristics of a conn ection described in terms of qual- ity of service (QoS) parameters, normally negotiated between peer entities. [2] Reliability The ability of a functional unit to perform a required function under stated conditions for a stated period of time. [2] Remote control Control of an operation from a distance."
R2,"A suite of proto- cols which together provide the functionality up to layer 4, of the ISO OSI Reference Model, without exact layer for layer corre- spondence. .. [3] Telecontrol application service element (TASE) A specific application service element for telecontrol purpose. [2] Time resolution, limit of accuracy of chronol- ogy The minimum time by which two events must be separated in order that the corresponding time tags be different. [2] Time tagging Method of transmission of change-o f-state so that transmitted in- formation is accompanied by data giving the registered time at which the change occurred, within the time resolution. [2] Transmission on de- mand A transmission method in which messages are transmitted only as result of a request such as an interrogation command from a control"
R3,"In some locations, the wind farm must participate actively in the regulation of the net- work stability. [No ref.] Wind power plant Wind power plant is the general name for one or more wind tur- bines that converts kinetic energy in the wind into electrical energy within a geographically confined area. [No ref.] Wind turbine System that converts kinetic energy in the wind into electrical en- ergy. [1]"
R4,"The need for a specification applied to a wind power pl ant, that shall be supervised and controlled by a SCADA-system, is apparent."
R5,"The Specifica- tion includes requirements for data transfer and handling, i.e. which data needs to be ex- changed and how it shall be done, but not how the data shall be used by the SCADA-system."
R6,"When using specifications on tendering or purchas e, it is the responsibility of an employer or user to specify in addition, supplementary or more detailed specifications and whether all or only parts of the Specification shall be applied."
R7,Apart from the functions needed by the operator the system shall support also functi ons needed by other parties.
R8,"In this Specification “communication system” shall be understood as a system for: • Transfer of data from a process/plant level to a level, where data are accessible for an ap- plication in a standardised format • Transfer of data to a process/plant level for distribution of commands, operational settings etc."
R9,The different operational functions need access to data in the power plant and the sending and receiving parts must be able to interpret and handle the data.
R10,"Therefore, the data structure must be defined together with the data types and other characteristics."
R11,"In some locations, the wind farm must participate actively in the regula- tion of the network stability."
R12,"Basically the communication system must assist the operators, users and other interested par- ties in performing their tasks by provision of services."
R13,The system must be flexible in support- ing future requirements and future developments .
R14,"The system must be open in the sense that “anyone shall be able to get information on a nything from anywhere”, once they have au- thorisation to the system."
R15,The communication system shall be based on open and widely accepted methods with a high degree of interface possibilities.
R16,"The system shall be robust and reliable, but the system shall not be used for the safe and secure operation of the plant."
R17,Faults in the communication system shall not cause malfunction of an individual wind turbine.
R18,The system shall be designed in a way that faults of a sub-system interferes as little as possible with functions of the communi- cation system as a whole.
R19,"In designing the system it shall be taken into account, that the physical environment at the plant typically has a wide span of temperature, moisture, salinity and vibration levels."
R20,The values shall be available for display on ope rator HMI as well as for storage (databases).
R21,Updating of values shall be selectable down to an interval of 1 sec.
R22,All data must be stored in the plant controller for transmission on demand.
R23,"Control is subject to miscellaneous filters that check that there will be no damage if the control is issued. • Parameter changes (parameter set switching, subset of setting, or single parameter) In addition to single parameters, an application may have several possible pre-defined pa- rameter sets (but only one active set). • Alarm management Alarm is generated when a data of the system takes a value that shall be specially consid- ered by the operator, i.e. there is a need for attracting attention to some abnormal state."
R24,"Thus the communica tion system for remote operation do not need to support functions such as hook-up of portabl e PC at the plant for Internet access, WEB- cam connection, E-mail service, Program execution, Plant information and Service instruc- tions."
R25,In order to accomplish this the basi c services of the communication system shall include the following: • Connection establishment and release • Authentication • Identification of functional object and devices • Data access and transfer • Reliable communication over a network
R26,Alarm data shall be sent from the wind turbine on occurrence.
R27,Ti me stamped data shall be stamped with ‘last updated date + time’ (UTC time).
R28,Server authentication shall ensure the client application that it is truly operating on the in- tended site.
R29,"System management functions, which shall be available for the operators and control systems, are of low time criti- cal nature."
R30,"Regarding safety of persons, plant and electri c network, the communication system shall not be of critical nature."
R31,No functions regarding sa fety of persons shall be based on the communi- cation system.
R32,No functions regarding safety of plant and electrical network shall be based on the communication system – all safety functions must be self-contained in the process or in the devices where systems interface and will trip automatically.
R33,Finally the operator need to know the status of the communication system to be able to rely on the presented data.
R34,The time critical functions shall use short messa ges with a high priority.
R35,Data-wise the mes- sages shall be small and shall be transmitted with a minimum of delay.
