item,text
R1,"Each requirement shall be: • Necessary: It states a condition for the acceptance of the system. • Verifiable: It is stated in such a way that an objective test can be defined for it. • Attainable: It is technically feasible and can be accomplished within schedule and budget. • Clear: It is singular, concise, and simple."
R2,Each requirement shall be: • assigned a project-unique identifier. • annotated with associated qualification (verification) methods (see section 2.2). • annotated with rationale (see section 2.3). • annotated with associated traceability to their source (see section 2.4).
R3,Requirement Identifier Requirement Description Verification Method(s) Source Rationale & Comments APAF-FR-01 The APAF system shall acquire from ESOC the telemetry data of the ASPERA-3 Experiment and Mars Express Orbit/Attitude.
R4,APAF-FR-02 The APAF system shall process all ASPERA-3 science data into IDFS data sets.
R5,APAF PDMP APAF-FR-03 The APAF system shall process the engineering and ancillary information necessary for calibration and science validation into IDFS data sets.
R6,"Demonstration and Analysis NASA Discovery Office Program- Level Requirements Section 4.5.1, Science Data Management APAF-FR-04 Intermediate files of cleaned-up ASPERA-3 and MEX OA telemetry shall be generated in the event that cleaned-up telemetry is not provided by ESOC."
R7,Demonstration and Analysis APAF Software Requirements Review Minutes To support the ASPERA-3 team in meeting mission goals and objectives APAF-FR-05 The ASPERA-3 and MEX OA telemetry data shall be stored on a local SwRI archive.
R8,Demonstration APAF Project Data Management Plan For data availability and re-processing APAF-FR-06 The ASPERA-3 and MEX OA IDFS data sets shall be stored on a local SwRI archive.
R9,Demonstration APAF Project Data Management Plan For data availability and analysis APAF-FR-06a Any APAF-generated intermediate files of ASPERA-3 and MEX OA cleaned-up telemetry shall be stored on a local SwRI archive.
R10,"Demonstration APAF Software Requirements Review Minutes For data availability and re-processing, and to support the ASPERA-3 team APAF-FR-07 Web-based displays of the most current ASPERA-3 data shall be provided for public view."
R11,Demonstration APAF Project Data Management Plan E/PO and monitor instrument performance APAF-FR-08 Web-based displays defined by the ASPERA-3 team shall be provided where any available ASPERA-3 data (as opposed to just the most current) can be used for science analysis.
R12,SOFTWARE REQUIREMENTS SPECIFICATION 5 Requirement Identifier Requirement Description Verification Method(s) Source Rationale & Comments APAF-FR-08a The web-based displays defined by the ASPERA-3 team to be used for science analysis shall be password protected until the ASPERA-3 data is made public.
R13,Demonstration APAF Software Requirements Review Minutes To support the ASPERA-3 team in meeting mission goals and objectives APAF-FR-09 The APAF ground data system shall have built-in error handling.
R14,Demonstration APAF Project Data Management Plan For better data integrity APAF-DR-01 (Listed as a Delivery Requirement) ASPERA-3 and MEX OA IDFS data and any APAF-generated intermediate files of ASPERA-3 and MEX OA cleaned-up telemetry shall be provided to all ASPERA-3 Co-I’s.
R15,To support the ASPERA-3 team in meeting MEX mission goals and objectives APAF-DR-05 (Listed as a Delivery Requirement) IDFS data access software developed by SwRI shall be made available to the ASPERA-3 Co-I’s.
R16,Demonstration APAF Software Requirements Review Minutes To support the ASPERA-3 team in meeting mission goals and objectives APAF-DR-06 (Listed as a Delivery Requirement) Science analysis software developed by SwRI to analyze IDFS-formatted data shall be made available to the ASPERA-3 Co-I’s.
R17,"SOFTWARE REQUIREMENTS SPECIFICATION 6 Interface ID Interface Description Document Reference APAF-SRS-15-03561 APAF Software Requirements Specifications Program-Level Requirements for the ASPERA-3 Mission of Opportunity Project The Software Design Documents shall fully document the instrument parameters, spacecraft parameters, and science information necessary for IDFS descriptions."
R18,The Software Design Documents of each of the seven components (see section 1.2) shall contain the detailed information of the internal interfaces.
R19,The Software Design Documents of each of the seven components (see section 1.2) shall contain the detailed information of the virtual instrument data items.
R20,SOFTWARE REQUIREMENTS SPECIFICATION 7 Requirement Identifier Requirement Description Verification Method(s) Source Rationale & Comments APAF-PR-01 The APAF system web server shall be password protected where appropriate to allow only pertinent ASPERA-3 team members access.
R21,"Requirement Identifier Requirement Description Verification Method(s) Source Rationale & Comments APAF-CR-01 There shall be a UNIX-based APAF system development computer. (Done: phobos.space.swri.edu) Demonstration APAF Software Development Plan Section 4.1.1, Hardware Resources APAF-CR-02 There shall be a UNIX-based APAF system production computer with an archival system."
R22,"Demonstration APAF Software Development Plan Section 4.1.1, Hardware Resources APAF-CR-03 There shall be a web server for the APAF system. (Done: www.aspera-3.org) Demonstration APAF Project Data Management Plan For web-based displays, and for information exchange APAF-CR-04 There shall be a network connection between SwRI and NISN."
R23,The SwRI software team shall provide system maintenance and software support.
R24,Requirement Identifier Requirement Description Verification Method(s) Source Rationale & Comments APAF-LR-01 SwRI shall provide APAF system maintenance.
R25,Demonstration NASA Discovery Office Program- Level Requirements Section 4.4 – to satisfy mission needs APAF-LR-02 SwRI shall provide software support for the APAF system.
R26,SOFTWARE REQUIREMENTS SPECIFICATION 8 Requirement Identifier Requirement Description Verification Method(s) Source Rationale & Comments APAF-DR-01 (Also Listed in Functional Requirements) ASPERA-3 and MEX OA IDFS data and any APAF-generated intermediate files of ASPERA-3 and MEX OA cleaned-up telemetry shall be provided to all ASPERA-3 Co-I’s.
R27,To support the ASPERA-3 team in meeting MEX mission goals and objectives APAF-DR-01a ASPERA-3 IDFS data that are electronically distributed shall be provided to the ASPERA-3 Co-I’s within 24 hours of acquiring ASPERA-3 telemetry as long as the transmission and processing are error-free.
R28,Demonstration APAF Software Requirements Review Minutes To support the ASPERA-3 team in meeting mission goals and objectives APAF-DR-01b MEX OA IDFS data that are electronically distributed shall be provided to the ASPERA-3 Co-I’s within 24 hours of acquiring MEX OA telemetry as long as the transmission and processing are error-free.
R29,Demonstration APAF Software Requirements Review Minutes To support the ASPERA-3 team in meeting mission goals and objectives APAF-DR-01c Any APAF-generated intermediate files of ASPERA-3 and MEX OA cleaned-up telemetry that are electronically distributed shall be provided to the ASPERA-3 Co-I’s within 24 hours of acquiring ASPERA-3 and MEX OA telemetry as long as the transmission and processing are error-free.
R30,Demonstration APAF Software Requirements Review Minutes To support the ASPERA-3 team in meeting mission goals and objectives APAF-DR-02 ASPERA-3 IDFS data and MEX OA IDFS data shall be provided to NASA PDS.
R31,"Demonstration and Analysis NASA Discovery Office Program- Level Requirements Section 4.1.1, Baseline Science Requirements APAF-DR-02a ASPERA-3 data shall be provided to NASA PDS in PDS-compliant form."
R32,"Analysis NASA Discovery Office Program- Level Requirements Section 4.5.1, Science Data Management APAF-DR-02b ASPERA-3 data shall be calibrated and validated prior to depositing in the NASA PDS."
R33,"Analysis NASA Discovery Office Program- Level Requirements Section 4.5.1, Science Data Management APAF-DR-02c ASPERA-3 data shall be provided to NASA PDS no later than 6 months after acquisition."
R34,"Demonstration NASA Discovery Office Program- Level Requirements Section 4.5.1, Science Data Management APAF-DR-03 SwRI shall provide IDFS data processing algorithms to IRF."
R35,"Demonstration NASA Discovery Office Program- Level Requirements Section 4.4, Ground System Requirements APAF-DR-04 Science analysis software shall be integrated into the NASA approved data repository."
R36,SOFTWARE REQUIREMENTS SPECIFICATION 9 Requirement Identifier Requirement Description Verification Method(s) Source Rationale & Comments APAF-DR-05 (Also Listed in Functional Requirements) IDFS data access software developed by SwRI shall be made available to the ASPERA-3 Co-I’s.
R37,Demonstration APAF Software Requirements Review Minutes To support the ASPERA-3 team in meeting mission goals and objectives APAF-DR-06 (Also Listed in Functional Requirements) Science analysis software developed by SwRI to analyze IDFS-formatted data shall be made available to the ASPERA-3 Co-I’s.
R38,Demonstration APAF Software Requirements Review Minutes To support the ASPERA-3 team in meeting mission goals and objectives APAF-DR-07 How the ASPERA-3 and MEX OA data and exactly what data sets are to be distributed to each Co-I shall be determined by the needs and resources available six months prior to MEX launch.
R39,The distribution mechanisms shall be clearly defined/described in the APAF Operation Procedures Document.
R40,The APAF data system is not required to operate in more than one state or mode.
R41,"However, if any are identified, they shall be documented in the APAF Operations Procedures Document."
R42,"In addition, the APAF Operations Procedures Document shall provide installation and operations"
R43,"In Section 4.1.1, Baseline Science Requirements, it states: “…the ASPERA-3 MO shall provide the complete data set of the integrated ASPERA-3 investigation to all ASPERA-3 Co-I’s and the NASA Planetary Data System (PDS)."
R44,The specific measurements delivered shall be as follows:
R45,"In Section 4.3, Launch Requirements, it states: “…data processing software shall meet the delivery requirements of the IRF in order to support the launch date and operation of the ESA Mars Express mission.”"
R46,"In Section 4.4, Ground System Requirements, it states: “SwRI shall develop the ASPERA-3 data reduction system and software to be used during instrument integration, test, calibration and mission operations for the full ASPERA-3 experiment."
R47,"This system shall be available on a schedule to satisfy the mission needs per agreement with IRF, and to satisfy the data availability requirements established in Section 4.5.1."
R48,SwRI shall provide processing algorithms to IRF in preparation for the mission operations and data analysis phase of Mars Express on a schedule to satisfy the mission needs per agreement with IRF.”
R49,"In Section 4.5.1, Science Data Management, it states: “…the ASPERA-3 MO PI shall be responsible for collecting engineering and ancillary information necessary to validate and calibrate the scientific data prior to depositing it in the NASA PDS in a PDS-compliant form."
R50,"The time required to complete this process shall be the minimum necessary to provide accurate scientific data to the science community and the general public, but it shall not exceed six months after acquisition.”"
R51,"SOFTWARE REQUIREMENTS SPECIFICATION 12 In Section 4.5.2, Analysis Software, it states: “Science analysis software developed by the ASPERA-3 MO PI team for this project shall be integrated into the NASA approved data repository."
R52,The PI team and the science community shall have equal on-line access to this software.”
R53,"In Section 4.5.3, Data Management Plan, it states: “The ASPERA-3 MO Project shall develop a project data management plan to address the total activity associated with the flow of science data, including planning, acquisition, processing, data product generation and validation, archiving, and preservation."
R54,"The plan shall identify science and supplementary data products, systems associated with handling the data, and the roles, responsibilities, and operational interfaces affecting those data and systems.” Note: This Program-Level requirement has been met with the generation and delivery of the APAF Project Data Management Plan (PDMP)."
