item,text
R1,This new interface must cater to the needs of both emulation end users and emulation suppliers.
R2,The scope of this document shall be restricted to what is specifically referred to herein as the Standard Co-Emulation API: Modeling Interface (SCE-MI).
R3,The means to interconnect software models to each other must be provided by a software modeling and simulation environment such as SystemC which is beyond the scope of this document.
R4,"Ideally, the end users are not required to be familiar with the details of SCE-MI API."
R5,"They must be distributed with appropriate object code, netlists, RTL code, configuration files, and all necessary documentation."
R6,"For such a release to be complaint, it must conform to all the requirements set forth in this specification."
R7,"However, before messages can be transported over an SCE-MI message channel, their content must be serialized into a large bit vector by the DUT proxy model."
R8,"Furthermore, all other transactors that did not themselves stop the clock, must still sense that the clocks were globally stopped and continue to function correctly even though they themselves had no need to stop the clock."
R9,"Controlled and Uncontrolled Time Views In the SCE-MI use model, the semantics of clock control can be described as follows:  Any transactor can instruct the SCE-MI infrastructure to stop the controlled clock and thus cause controlled time to freeze.  All transactors are told by the SCE-MI infrastructure when the controlled clock is stopped.  Any transactor must function correctly if controlled time is stopped due to operations of another transactor, even if the transactor in question does not itself need to stop the clock.  A transactor might need to stop the controlled clock when performing operations that involve decomposition or composition of transactions arriving from, or going to a message channel.  The DUT is always clocked by one or more controlled clocks that are controlled by one or more transactors.  All transactors are clocked by a free running uncontrolled clock that is provided by the SCE-MI hardware side infrastructure. cclock Controlled Time View uclock cclock uclock Transactor operation occurs while controlled time is suspended by using extra uncontrolled clock cycles."
R10,"One SceMiMessageInPort macro must be instantiated for each required message input channel, and one SceMiMessageOutPort macro for each output channel."
R11,These two macros are mutually associated by the ClockNum parameter and every SceMiClockPort macro must have a minimum of one SceMiClockControl macro associated with it.
R12,"of 94 Functional Requirements Specification: Standard Co-Emulation Modeling Interface (SCE-MI)  DutyHi = 50  DutyLo = 50  Phase = 0  ResetCycles = 8 Of these parameters, the ClockNum parameter is used to uniquely identify this particular clock and also to associate it with its 1 or more counterpart SceMiClockControl macros which must be parametrized to the same ClockNum value, in this case 1."
R13,"However, passing messages by reference is more efficient but care must be taken in their use."
R14,"If this is the case, the ReceiveReady input must be permanently asserted (i.e., “tied high”) and, on the software side, no input ready callback is registered."
R15,The transactor must be designed to take any arriving data immediately as it is not guaranteed to be held for subsequent uclock cycles.
R16,"If the software client code registers an input ready callback when it first binds to a message input port proxy (see section 4.3.3.4 on page 66), the hardware side of the infrastructure must notify the software side each time it is ready for more input."
