item,text
R1,"Department of En ergy, and the project team the results that must be achieved by the automated diagnostic tool."
R2,functional requirement — a requirement that specifies a function that a software system or software component must be able to perform [IEEE Std 610.12 -1990].
R3,"In this requirements specification, functional requirements specify how the inputs to the software product should be transformed into outputs [IEEE Std"
R4,"interface requirement — a requirement that specifies an external item with which a software system or software component must interact, or that sets forth constraints on formats, tim ing, or other factors caused by such an interaction [IEEE Std 610.12 -1990]"
R5,"a condition or capability that must be met or possessed by a software system or software component to satisfy a contract, standard, specification , or other formally imposed document;"
R6,The automated diagnostic tool must support a wide variety of users with respect to computer expertise.
R7,"The tool must provide a capability to manually input and edit “fixed” data, i.e. , data that does not vary in real-time."
R8,This data must be stored for subsequent use by the diagnostic tool for review and verification by other users and management.
R9,The user must have the capability to configure the tool for continuous diagnostic analysis over an indefinite period of time.
R10,"No printed reports will be required of the tool, but the tool must print screen images of diagnostic results and historical data at user request and must provide long term storage of diagnostic results and permit the user to supply metadata relevant to the results, e.g., location, HVAC serial number, model number, user name, date, etc."
R11,"However, the design of the software should support the incorporation of diagnostic algorithms for additional HVAC subsystems."
R12,Functionality specify functions that a system or component must be able to perform — the fundamental software actions that transform inputs into outputs Automated Diagnostic Browse Historical Diagnostics Browse Current Diagnostics Configure Diagnostics User General User Administrator Start/Stop Diagnostic Authenticate User <<include>> <<include>>
R13,A diagnostic information window must be displayed for this use case to begin.
R14,The main window of the tool must be the only window a ctive for the tool prior to execution of this use case.
R15,"This section describes the functional requirements of t he software, that is, requirements describing the core functions the software must perform."
R16,Users of the tool shall be classified into two types.
R17,"The first type, general use r, shall only be permitted to utilize a limited set of the capabilities of the tool."
R18,"The second type, administrator, shall be permitted all the privileges of the general user plus those identified in Table 2."
R19,"The automated diagnostic tool shall input sensed data in real time from data acquisition devices and the HVAC unit under diagnosis as well as from data files containing previously acquired data, though not simultaneously."
R20,"In addition, the tool shall input fixed data provided by the user."
R21,Sensed and fixed data used by the tool in performing automated diagnostics shall be stored to permanent storage for post -analysis by the diagnostic process and viewing of the results.
R22,The tool shall input sensed data in real time from data acquisition devices and the HVAC unit under diagnosis.
R23,"The tool shall permit sensed data to be input from an electronic file, though not simultaneously with sensed data from external acquisition hardware."
R24,"When inputting sensed data from an electronic file, only one file shall be used containing all necessary sensed data."
R25,The file shall be an ASCII text file containing only columns delimited by a single ta b character or single comma.
R26,The file shall begin with a required header.
R27,"The first uncommented column in the file after the required headers shall list the absolute time, in ascending order, associated with all entries in subsequent columns of the row."
R28,Each additional column in the file shall pertain to one and only one sensed parameter.
R29,All columns in the file shall have the same number of rows.
R30,The number of successive samples for a given sensor type shall be modifiable by the administrator.
R31,Sensed data used in or supporting diagnostic analyses shall be saved to permanent storage.
R32,"The occurrence of missing data shall be indicated in permanent storage by a unique and obvious place holder or indicator, e.g., a null value or sequence of character s that cannot be confused with non - missing data."
R33,Sensed data input to the tool shall be stored to permanent storage with a precision of three significant figures.
R34,Sensed data input to the tool shall be validated with respect to its expected range of values.
R35,Sensed data shall be assigned the ranges listed in Table 5 by default.
R36,The administrator shall have the capability to modify the expected range of sensed data against which the data will be validated.
R37,The engineering units of sensed data input to the tool shall comply with the units listed in
R38,The tool shall provide the capability to convert sensed data not provided in the units listed in
R39,The tool shall associate with each continuous parameter one or more tolerances each corresponding to a different sensitivity level for the tool.
R40,"Any and all errors associated with obtaining, validating, converting, or storing the sensed data shall be logged as described in subsequent specifications and selected err ors shall be reported to the user."
R41,The automated diagnostic tool shall detect and identify certain performance and operational faults in chiller and cooling tower subsystems of HVAC units following specified algorithms.
R42,"In additi on, the tool shall be designed to permit expansion of diagnostic analysis to additional subsystems."
R43,"The faults identified and their causes and sources, shall be saved to permanent storage for subsequent analysis."
R44,The tool shall monitor performance and operational parameters listed in Table 7 for chillers and cooling towers and identify the specific faults in the specific fault categories listed in the table.
R45,Chiller/Cooling Tower Cooling Tower Fan(s) and Condenser Pump Interlock Cooling Tower Fan(s) and Condenser Pump are not Interlocked Properly The interlock between the condenser pump and the cooling tower may not be properly implemented.
R46,"Table 7, the tool shall associate text describing the possible problem, causes, and a recommended fix."
R47,The interlock between the condenser pump and the cooling tower may not be properly implemented.
R48,The cooling tower fan and condenser pump may not be interlocked properly.
R49,The tool shall be designed to permit the addition of diagnostic algorithms for other subsystems of HVAC units.
R50,A diagnostic algorithm shall not process if any input data to the algorithm is missing.
