item,text
R1,"Modification History After the baseline version of this document is approved, any changes made to the document must be approved in accordance with the provisions of the established Change Management Plan."
R2,"Objectives The RLCS Application must support the objectives listed in Section 1.2 System Goals, in the System Requirements Specification."
R3,"Reliability requirements – The RLCS Application must be available 24 hours per day, 7 days per week, 365 days per year."
R4,"In order to achieve this, the nature of the risk must be understood and continually kept in mind by control system developers and testers."
R5,"It is unknown at this time which particular controller will be used to control the field devices, but the software must interface with whichever controller is chosen to interface with the field devices."
R6,The RLCS software shall send to and receive data from the field device I/O cards through I/O driver software.
R7,External System Interfaces All external systems shall retrieve RLCS status from a server outside the RLCS network. (outside a firewall).
R8,Functional requirements This section describes the fundamental actions that must occur to accept inputs and produce outputs.
R9,"It includes explanations of validity checks on inputs, [vendor must complete the validity check information] sequences of operations, and responses to abnormal situations."
R10,"Graphical User Interface (GUI) The system shall have a Graphical User Interface (GUI) that allows the operator to view system status, issue commands to change device status, configure the system, export log data, and generate reports."
R11,The RLCS software shall have a logon screen for the GUI.
R12,The logon screen shall request user name and corresponding password.
R13,The logon screen shall activate command control for the user if the user requests it and has authorization.
R14,Command control shall be from only specified workstations.
R15,"If command control is enabled by another user, and the logging in user is of higher security, the logging in user shall be requested to accept or deny command control."
R16,"Time Stamp, User, and Workstation ID Window The GUI shall indicate the current date and time, user’s name, and workstation location name."
R17,The GUI shall also show other users currently logged in the other units within the RLCS network.
R18,The GUI shall provide an option that allows the system user to issue commands that monitor and control opening and closing events.
R19,"Based on the user’s security level, the control option shall provide the user with the appropriate level of control."
R20,The control option shall provide the user with the capability to set the operational status of failed devices.
R21,"The RLCS software shall display information about active overrides: Which are active, and which devices have no currently active 'rules protection' against erroneous opening/closing."
R22,"The GUI shall provide a display of the I-15 Reversible Lane Control System facility geographic area, including a layout of the mainline I-15, SR-163 freeway area in the same geographic area as the I-15 Reversible Lane."
R23,"For alarm status, the GUI shall also issue an audible alarm, and the icon shall be different from the okay status for that device."
R24,The visual alarm shall include a change of color for the affected device.
R25,There shall be an option to turn off the audible alarm permanently or temporarily for a given period.
R26,The alarm icon shall change to the normal status icon automatically when the alarm condition is removed.
R27,Alarm conditions shall be configurable on the screen.
R28,"When a device status has been overridden, on the screen it shall appear with different color from the normal and alarm status colors."
R29,Status information shall continue to display when no user is logged on to the workstation and shall continually be updated every 2 seconds.
R30,The GUI shall provide an option for “Configuration” that is only accessible by the RLCS Software user with System Administrative privileges.
R31,It shall display and allow modification of all database tables with the exception of log tables.
R32,"When the system administrator modifies the database tables, the GUI shall analyze the data before storing in the database and notify the system administrator of any conflicting or redundant entries."
R33,The configuration option shall allow a security level and password to be assigned to each defined staff member.
R34,"User security levels shall be assigned at the command level, device, mode, workstation, and system function."
R35,The configuration option shall also allow user accounts l to be changed remotely in the field units.
R36,"When an operator is making changes on the system, the GUI configuration screen shall display to the user which device, controller, or workstation in the RLCS network will be affected by the changes."
R37,The option to configure device rules shall require an additional login password for that option.
R38,The GUI shall allow devices to be added and removed from the display without requiring programming effort.
R39,The GUI shall allow the facility map to be modified without requiring programming effort.
R40,"Display/Export System Information Logs The system shall display information logs and provide the capability to export the logs in common ASCII text for importing to commercial database, spreadsheet, or reporting programs."
R41,The Problem Work Order shall be a separate display that allows the user to enter information about a system problem.
R42,The Problem Work Order data shall be editable and exportable to ASCII delimited files by the user.
R43,The “Daily Diary” shall be a separate display that allows the user to enter free form text comments.
R44,"Single Device Status Screen The GUI shall provide the ability to display the status of one device at the detail level, showing all sensor data for that device."
R45,"Device Category Status Screen The GUI shall provide the ability to display the current status of a category of devices at the detail level, showing all sensor data for all devices of the same category."
R46,Report Screen The user shall be able to retrieve historic reports from the COTS reporting system based on date range and report name.
R47,Emergency Notification Information Screen The system shall display the appropriate emergency contact information in the event of an alarm condition.
R48,"Command Confirmation/Abort/Override Screen The GUI shall display a separate window requesting confirmation of the command upon receiving a command either from the user at the keyboard, or from a scheduled sequence of commands."
R49,Alarm Acknowledgment/Silencing Screen The GUI shall allow the operator to acknowledge an alarm and have the option to silence the audible portion of the alarm for a configurable number of seconds or permanently for that device only.
R50,The GUI shall include diagnostic screen providing the user with the capability to diagnose failed devices at the sensor level.
R51,Change System Mode the GUI shall provide a screen for authorized users to change system mode.
R52,"Help Screen The GUI shall provide a screen for describing system features, functions, database tables, and fields."
R53,"The RLCS shall monitor all field device sensors, and shall process operator requests for changing field device status."
R54,"Any operator or system command, which changes the state of field control devices, must be checked for integrity at multiple levels in the RLCS."
R55,"The RLCS software shall monitor, display, and update the database with the status of all system field elements."
R56,Any change in device state shall be reported on the screen not later than 2 seconds from the time it occurs.
R57,In addition to monitoring field devices the system shall also monitor field controllers and connected on the RLCS network for control system integrity.
R58,The system shall report any users logged in RLCS network computers any time and all commands issued in the field units.
R59,"During ‘degraded’ mode, the system shall monitor device sensors at the frequency rate stored in the database to take effect only during ‘degraded’ mode."
R60,"In general, the system shall monitor the status of all field devices at the frequency specified in the System Control Parameters for that mode."
R61,The system shall control all system field elements to device sensor level for those device sensors that may be controlled.
R62,Each device control command shall check the current status of all closure devices in the system and shall abort if any closure control device status is unknown.
R63,"Each command (at the device sensor command, device command(macro), or system operational command (super macro) level) shall only be executed when a valid or good status exists for all device sensors."
R64,An authorized user shall be able to log in and issue device status requests and control commands from specified computers in the network. (This is determined
R65,The current status for all devices shall be maintained at each controller unit.
R66,Check Device Status for Alarm Condition Each status received from device sensors shall be checked against alarm conditions for that device sensor and the status will be updated to indicate an alarm.
R67,Critical alarms shall be generated when one or more of these conditions are met.
R68,Warning alarms shall be generated when one or more of these conditions are met.
R69,"If a critical alarm occurs during opening or closing operation, the system shall present the operator with possible actions that can be taken in order to complete the operation."
R70,"If overriding a device status is needed in order to proceed, the system shall determine if the operator has high enough security and provide advise on how to proceed."
R71,"In order for a command to be processed from any workstation or controller, the MCU field device shall be in the “Auto” mode."
R72,The system operator shall be able to override any device and continue with a system operational command sequence.
R73,The process of overriding a device status shall not affect the status of any other device.
R74,Business Rules / Interlocks / Safety Screening Each control command that is processed must be validated against the secured safety rules (stored in non-volatile memory) for the command.
R75,"If a status from any device is not received upon request, the system shall automatically request the status again."
R76,Failure to receive a valid status after a configurable number of retries shall be considered a device failure.
R77,"When each workstation and control unit (workstation or intelligent controller at the FCU or DCU) comes online, the system shall identify it and all its associated device sensors."
R78,The RLCS software shall initialize each control unit and device sensor as it is identified.
