item,text
R1,This document specifies the services that the tool will provide and the constraints under which the system must operate.
R2,"NFR: Non-Functional Requirements: This section specifies the properties like accuracy, performance etc. that the tool must satisfy."
R3,Priority Level Priority Description 1 High High priority requirements are critical and must be satisfied.
R4,Functional Requirements FR-UA 1 Requirement Definition: The system shall support an administrator level.
R5,Origin: Customer interview (Qingfeng He) 02/06/04 Priority: 1 FR-UA 2 Requirement Definition: The system shall support a project manager level.
R6,Requirement Definition: The system shall support an analyst level.
R7,Origin: Customer interview (Qingfeng He) 02/06/04 Priority: 1 FR-UA 4 Requirement Definition: The system shall support a guest level.
R8,Requirement Definition: The system shall allow all users to have different access levels to the projects.
R9,Origin: Customer Interview (Qingfeng He) 02/06/04 Priority: 1 NFR-UAM 2 Requirement Definition: The system shall allow secure storage of passwords in the database.
R10,Origin: Customer Interview (Qingfeng He) 03/02/04 Priority: 1 NFR-UAM 3 Requirement Definition: The system shall allow users to securely log onto the system.
R11,Functional Requirements FR-GSM 1 Requirement Definition: The system shall allow analysts to add a new goal.
R12,"Relevant Legislation (e.g, HIPAA, COPPA, GLBA) Origin: Customer interview (Qingfeng He) 02/06/04 Priority: 3 FR-GSM 2 Requirement Definition: The system shall provide templates for goals, scenarios, P3P statments, EPAL rules and access control policies."
R13,Antón) 02/13/04 Priority: 3 FR-GSM 3 Requirement Definition: The system shall allow analysts to classify goals.
R14,Goals based on subject classification Origin: Customer interview (Qingfeng He) 02/06/04 Priority: 3 FR-GSM 4 Requirement Definition: The system shall allow multiple subject classifications for each goal.
R15,Origin: Customer interview (Qingfeng He) 03/02/04 Priority: 3 FR-GSM 5 Requirement Definition: The system shall provide the ability to dynamically add a new classification type of goals to the tool.
R16,Origin: Customer interview (Qingfeng He) 03/02/04 Priority: 3 FR-GSM 6 Requirement Definition: The system shall allow the analysts to request a new classification type of goals and also allow the project manager to create that classification type.
R17,Requirement Specification: The system shall allow the analysts to request a new classification type of goals and also allow the project manager to create that classification type.
R18,Antón) 07/12/04 Priority: 3 FR-GSM 7 Requirement Definition: The system shall provide the ability to update an existing goal.
R19,Origin: Customer interview (Qingfeng He) 02/06/04 Priority: 3 FR-GSM 8 Requirement Definition: The system shall provide the ability to delete a goal.
R20,Origin: Customer interview (Qingfeng He) 02/06/04 Priority: 3 FR-GSM 9 Requirement Definition: The system shall provide the ability to automatically propagate associated policy information upon deletion or replacement of a goal.
R21,Antón) 02/13/04 Priority: 3 FR-GSM 10 Requirement Definition: The system shall maintain traceability links between a goal and the policy from which the goal was derived.
R22,"Origin: Customer interview (Qingfeng He) 02/06/04 Priority: 3 FR-GSM 11 Requirement Definition: The system shall provide the ability to display the number of occurrences of a goal in a policy, in multiple policies and within a domain."
