item,text
R1,A requirements document states what must be accomplished to fulfill the vision described in a concept of operations.
R2,The Clarus system should be a data collection system capable of handling a vast range of data in a flexible manner that permits new data types to be added.
R3,The design of Clarus will need to consider these time horizons when planning the technical limitations of the system architecture.
R4,The Clarus component includes the time required to communicate data from the Autonomous Layer to the Clarus system import process as well as the time require d to process the input data into storage structures.
R5,"Further, the variation in th e Service Provider component includes the time required to add other data to the Clarus data and to perform the human- and machine-based product generation."
R6,The averag e data age grows as a result of the aggregated times required to move through the various layers and eventually to the Service Provider Customers.
R7,The Clarus system design must address how best to minimize these times to optimize the flow of data in a timely manner.
R8,The requirements of the broader stakeholder community are essential to the Clarus Initiative and these interests must serve as a framework for the core Clarus system.
R9,"To address the timeliness factor, the system should be designed such that it can both retrieve and disseminate large volumes of data from a variety of sources and at potentially high rates."
R10,"If the Clarus system fails, requestors will need to use their legacy systems."
R11,"The system should be standard s based, where national standards are applicable."
R12,Special consideration should be given to the national intelligent transportation system (ITS) standards.
R13,"Even though the system will check the data and apply quality flags, consumers of Clarus-provided data will need to unders tand that neither FHWA nor the contributing data providers will accept responsibility for the accuracy of any of the data."
R14,A set of services is required to properly inte rpret and transform all the incoming and outgoing environmental information.
R15,"In this section, the requirements are classified by the first letter in the requirement identification as described in Table 2 and shown in Table 3. • Functional Requirements – Lists the char acteristics that the system must support for each interface."
R16,This section lists the functional characteris tics that the system must support.
R17,"It also identifies what is to be done by the system, what inputs should be transformed to what outputs, and what specific operations are required."
R18,Requirements formulated with “… shall…” are direct requirements;
R19,those using “… shall be able to…” are conditioned on other requirements being fulfilled or on factors outside the control of the requirement’s subject.
R20,CAS Comment Criticality F-101 The Clarus system shall implement quality checking processes as soon as data become available.
R21,B1 The CAS shall be able to configure schedules for executing QChS.
R22,F-151 The Clarus system shall record the methods applied when deriving quality checking information.
R23,B1 The CAS shall record the quality checking methods used.
R24,F-155 The Clarus system shall be able to implement quality checking rules for each environmental parameter.
R25,B1 The CAS shall be able to configure the quality checking rules for each environmental parameter.
R26,B2 The CAS shall enable administrators to manage quality checking rules.
R27,CAS Comment Criticality F-161 The Clarus system shall be able to implement quality checking rules for specific environmental situations.
R28,B1 The CAS shall be able to configure quality checking rules for specific environmental situations.
R29,F-163 The Clarus system shall be able to implement quality checking rules specific to observation locations.
R30,B1 The CAS shall be able to configure quality checking rules specific to observation locations.
R31,F-171 The Clarus system shall be able to base its quality checking process on historical environmental data.
R32,B1 The CAS shall be able to configure historical environmental data to be used by quality checking processes.
R33,CAS Comment Criticality F-175 The Clarus system shall be able to use multiple algorithms for its quality checking process.
R34,B1 The CAS shall be able to configure multiple algorithms to be used in the quality checking process.
R35,F-213 The Clarus system shall allow access to new surface transportation-related environmental data.
R36,B1 The CAS shall be configurable to allow new observation types to be implemented as they become available.
R37,F-806 The Clarus system shall enable administrators to manage security groups.
R38,B1 The CAS system shall enable administrators to manage security group members.
R39,B2 The CAS shall have an administrator security group.
R40,B3 The CAS shall have a quality manager security group.
R41,CAS Comment Criticality F-811 The Clarus system shall be able to restrict environmental data publication based on source.
R42,B1 The CAS shall be able to record data sharing restrictions.
R43,F-901 The Clarus system shall record statistics about its operation.
R44,B1 The CAS shall record statistics about the system operation.
R45,F-905 The Clarus system shall log data transactions.
R46,B1 The CAS shall log data transactions.
R47,"H-120 The Clarus system shall acquire, process, and disseminate environmental metadata."
R48,B1 The CAS shall manage contributor metadata.
R49,B2 The CAS shall manage collector metadata.
R50,B3 The CAS shall manage quality checking schedules.
R51,B4 The CAS shall manage environmental data collection schedules.
R52,B5 The CAS shall manage ESS metadata.
R53,Task Force I-032 The Clarus system shall manage environmental data and metadata according to the Clarus data sharing agreements.
R54,"MHI CAS, CAUI Changed from “The Clarus system shall manage system user privileges according to the Clarus data sharing agreements.” H I-032B1 The CAS shall manage data sharing rules based on contributor data sharing agreements."
R55,"ID Requirement Source Allocation - CAUI Comment Criticality F-100 The Clarus system shall collect, quality check, and disseminate environmental data."
R56,H F-100C1 The CAUI shall be able to initiate CS on demand.
R57,F-111 The Clarus system shall provide environmental data quality flags.
R58,"OCS QChS, CAUI, QEDC H F-111C1 The CAUI shall enable a quality manager to apply manual flags to a set of observations from an individual ESS."
R59,F-111C2 The CAUI shall enable a quality manager to apply manual flags to a set of observations.
R60,F-111C3 The CAUI shall enable a quality manager to apply manual flags to a set of observations over a fixed time range.
R61,F-111C4 The CAUI shall enable a quality manager to apply manual flags to a set of observations over a time range with an open ended future time.
R62,F-141 The Clarus system shall allow human quality checks of environmental data.
R63,"OCS CAUI, QChS Changed from “The Clarus system shall allow human intervention to override automatically applied quality assessment.” M"
R64,ID Requirement Source Allocation - CAUI Comment Criticality F-141C1 The CAUI shall allow a quality manager to apply a manual quality flag to environmental data.
R65,F-141C3 The CAUI shall allow manual quality flags to be entered.
R66,F-155 The Clarus system shall be able to implement quality checking rules specific to each environmental parameter.
R67,"ConOps §3.5.1.4 QChS, CAS, CAUI H F-155C1 The CAUI shall enable quality checking rules to be configured specific to each environmental parameter."
R68,"MHI CAS, CAUI H F-806C1 The CAUI shall enable administrators to manage security group members."
R69,C1 The CAUI shall enable administrators to acquire environmental metadata.
R70,C2 The CAUI shall enable administrators to manage environmental metadata.
R71,ID Requirement Source Allocation - CAUI Comment Criticality I-031 The Clarus system shall provide a user interface for administration.
R72,MHI CAUI H I-031C1 The CAUI shall enable administrators to manage contributor metadata.
R73,I-031C2 The CAUI shall enable administrators to manage collector metadata.
R74,I-031C3 The CAUI shall enable administrators to manage quality checking schedules.
R75,I-031C4 The CAUI shall enable administrators to manage environmental data collection schedules.
