item,text
R1,"These in clude the functional re quirements, which describe the operations tha t user s must per form using Pontis 5.0, the non- functional requirements, which des cribe the manner in wh ich the soft ware will be designed, developed, and dep loyed, and the plan fo r implementation of Pontis 5.0."
R2,"Throughout this document, the terms “s hall” and “will” are used to identify specific f unctions and capabilities that Pontis 5.0 must provide (e.g., Pontis inspection interface shall provide the ability to perform data validation on National Bridge Invento ry items)."
R3,"The terms “ may” a nd “ might” are used to indicate functions and c apabilities that ma y or may not be included in the final product (e.g., Pontis may provide a dire ct link to GIS soft ware for map-based querying)."
R4,"This docum ent, once a pproved in final form, indicates agreement bet ween the AASHTO P ontis Task Force, on behalf of the Pontis licensing agenc ies, and Cambridge Systematics, on the spec ific functions and capabilities that Pontis 5.0 must provide, providing a clear a nd specif ic scope of services for th e software design and development effort."
R5,"Any su bsequent changes to the functional requirements must be carefully review ed and considered, because t hey may impact the project schedule and/or or ex pand the scope of work beyond th at which is covered by the design and development contract between AASHTO and the software developer."
R6,Pontis 5.0 Functional Requirements Specification v1.0 Pontis 5.0 must address this objective e xplicitly and m ust be sign ificantly improved over current version(s).
R7,"Preservation of agency investments means that the significant body of effort to develop staff expertise, data, reports, da ta forms, procedures, ma nuals, training courses, and the multitude of other BM S-related agency products must be explicitly a cknowledged and preserved in P ontis 5.0 to the greate st extent possible."
R8,"Where there is a conflict, the requirements of th e key i nternal users must take priority over those of secondary users."
R9,"Changes are very likely to be neces sary but proposed database changes will need to be reviewed and approved by the BRIDGEWare Databas e Technical Advi sory Group (T AG) as part of the Pontis 5.0 design approval process following the agreed database c hange protocol.5 Pontis will support it s existing r elational databases (RDBMS) of Sy base Adaptive Server Anywhere, Oracle, and Microsoft SQ L Server a s the database for its information repository ."
R10,"Substa ntive justification must be provided for every ch ange, and n o changes are permitted to the BRIDGEWare database desi gn wi thout the consensus of the da tabase Technica l Adv isory Group (TAG)."
R11,"Pontis 5.0 will be a GIS-aware applicatio n that must operate properly within an agency’s GIS techno logy whether ESRI, Int ergraph, Open GIS, or o thers."
R12,Pontis must observe in dustry stan dard protocols in this regard and avoid vendor specific implementation approaches.
R13,Pontis 5.0 must not a ssume a un iform opera ting environment and must accommodate both disconnected and connected users.
R14,"Pontis 5.0 must maint ain consist ency with the ex isting deployed 4.x application, which in effect serves to a great extent as a hi-fidelity (hi-fi) prototype for Pontis 5.0."
R15,The Pontis 5.0 de sign must incorporate any F ederal NBI changes tha t may arise during the design and development period.
R16,"must use te chnology th at the mem ber agencies of AASHTO can deploy and support, hence, the ge neral constraint identified earlier – that Pontis 5.0 will be a Microsoft .NE T a pplication, utilizing industry standard RDBMS technologies."
R17,Pontis 5.0 must interact effectively and properly with the other BRIDGEWare products.
R18,"Pontis 5.0 Functional Requirements Specification v1.0 Pontis 5.0 must provide two-way XML data ex change with Tran sXML schema once it is established. • • • • • • The design of Pontis 5.0 will be info rmed by review of the r esults of NCHRP Project 12-67, Multiple-Objective Optimization for Bridge Manag ement Systems."
R19,Additional funding may be required to modify the Pontis modeling approach to incorporate new approaches developed as p art of this project.
R20,Pontis 5.0 must provide well-defined and do cumented access to selected product functionality and data for third-party developers.
R21,"The user shall be a ble to select structure s by structure ID, district , county, administrative area (geographic group), ownership, custodianship, functional class, NHS status, on/off syste m, ins pector, bridge g roup, ins pection due dates, and all or some environment and elements."
R22,The query shall be restricted depending on the user privilege. … Requirements surroun ded by boxes are new or significantly updated requirements for Pontis 5.0.
R23,The user shall be able t o view the data stored in the Physical Inventory tables through the Pontis graphical user interface (GUI).
R24,The user shall be able to switch between predefined structure lists.
