item,text
R1,An EIRENE network may also include optional features and these shall then be implemented as specified in the EIRENE FRS and SRS.
R2,An EIRENE system may also include optional features and these shall then be implemented as specified in the EIRENE FRS and SRS.
R3,In this case a lookout is often required to report progress to the driver.
R4,The EIRENE System Requirements Specification defines the set of requirements which a railway radio system shall comply with in order to ensure interoperability between national railways. (I)
R5,"Section 10 details the handling of other information, such as priority, closed user groups and encryption algorithms, which must be applied consistently in all networks. (I)"
R6,The following minimum values shall apply: (M)
R7,The EIRENE mobile installation shall be designed to operate in a network meeting the criteria in 3.2.2 and 3.2.3. (M) Note 1: The specified coverage probability means that with a probability value of at least 95% in each location interval (length: 100m) the measured coverage level shall be greater than or equal to the figures stated above.
R8,Call setup times as defined in the EIRENE FRS shall be achieved with authentication and ciphering procedures enabled. (M) Note: Authentication may be delayed if necessary to achieve the required call setup times.
R9,In order to achieve these times the passage of the call through any networks external to GSM (eg from the GSM MSC to a controller linked by an ISDN connection) must take less than 250ms. (I)
R10,"The network shall operate in a sub-band, or combination of sub-bands, of the R-GSM band as defined in [EN 301 515, Index [35]]. (M)"
R11,"For carriers in the UIC frequency band the following convention shall be used, where Fl(n) is the frequency value of the carrier ARFCN n in the lower band, and Fu(n) the corresponding frequency value in the upper band: (M)"
R12,The network shall terminate the ongoing VGCS/VBS call if it receives the 3-digit sequence “ ***” transmitted via DTMF signals. (M)
R13,"In order to minimise the discomfort caused by the DTMF tone added in the voice channel, the duration of the tone generated by the fixed line dispatcher shall be 70ms ±"
R14,"ms, and there shall be a minimum gap of 65ms between each tone. (M)"
R15,"The muting and unmuting for VGCS shall be in line with [EN 301 515, Index [4]]. (M)"
R16,"The network shall send the SET-PARAMETER message with the attribute “ D-ATT = T” 1 [EN 301 515, Index [6]] to the mobile station of the talking subscriber if it receives the 3- digit sequence “ ###” transmitted via DTMF or the group call SETUP message2 from a controller terminal."
R17,"The network shall send the SET-PARAMETER message with the attribute “ D-ATT = F” 3 [EN 301 515, Index [6]] to the mobile of the talking subscriber only if it has received the"
R18,"The duration of each tone (see 3.8.2 and 3.8.4) added in the voice channel, shall be 70ms ± 5ms, and there shall be a minimum gap of 65ms between each tone. (M)"
R19,All SIM cards used in EIRENE mobiles shall comply with the requirements of the MORANE FFFIS for GSM-R SIM Cards [MORANE SIM]. (M)
R20,All mobiles shall be capable of operation in the following frequency bands: (M)
R21,The mobile radio antenna installation on vehicles shall be designed so as to ensure that mobiles operate correctly in networks which conform to the design criteria defined in section 3. (M)
R22,Mobile radios shall be of the following power classes: (M)
R23,"If a Railway emergency call set up from an EIRENE radio is unsuccessful, the radio shall automatically re-attempt the call setup until the call setup is successful, a retry timer expires (duration 30 seconds, as specified in the [EIRENE FRS]) or the user abandons the call. (M) Note: For this, the higher layers of an EIRENE radio shall automatically repeat setup requests to the layer 3 GCC or BCC entity as soon as an indication is given from the layer 3 GCC or BCC entity on an abort of the establishment procedure without the service being explicitly rejected by the network."
R24,"A service availability indication shall be provided to radio users, as defined in [EN 301"
