item,text
R1,It will be determined on a national basis whether different classes of service need to be defined for such routes.
R2,A railway mobile telephony network may be required to have interfaces to:
R3,It shall be possible for applications external to EIRENE to access EIRENE bearer services.
R4,All voice call services shall be able to operate between any combination of fixed and mobile equipment users. (M) Point-to-point voice calls
R5,The system shall support point-to-point voice calls between any two call parties. (M)
R6,Such point-to-point calls shall allow both parties to talk simultaneously. (M) Public emergency voice calls
R7,The system shall allow a user to make public emergency point-to-point voice calls. (M)
R8,Such emergency calls include ‘112’ calls and may not be used for railway emergencies. (I) Broadcast voice calls
R9,The system shall support broadcast voice calls. (M)
R10,The composition of call groups shall be able to be modified within the network.
R11,A single user shall be able to be a member of one or more call groups. (M)
R12,The local area over which broadcast calls shall be implemented shall be able to be modified within the network. (M)
R13,"It shall only be possible for the user who initiated the call to talk, other users can only listen. (M) Group voice calls"
R14,The system shall support group voice calls. (M)
R15,The local area over which group calls are implemented shall be able to be modified within the network. (M)
R16,It shall be possible for controllers to speak at any time during the call. (M)
R17,A mechanism shall be provided by the system to arbitrate between those users wishing to speak within the group call. (M) Multi-party voice calls
R18,The system shall support multi-party voice communications between up to six different parties. (M)
R19,Any of the parties involved in a multi-party voice call shall be able to talk simultaneously. (M)
R20,"If the text message facility is implemented, it shall not interfere with the ability of users to make or receive high priority voice or data calls. (M) General data applications"
R21,The network shall support point-to-point data communications. (M)
R22,The network shall support data rates of at least 2.4 kbit/s. (M)
R23,"Where fax functionality is provided, it shall be possible to interrupt the fax to make or receive a high priority voice or data call. (M) Train control applications"
R24,"Where ERTMS/ETCS level 2 or 3 is implemented, the network shall be capable of supporting data communications for that train control system. (M)"
R25,It shall be possible for the equipment to display the identity of the called or calling party in the form of a standard telephone number. (M)
R26,It shall be possible to display the identity of the called or calling party as a textual description of their function. (M) Restriction of display of identity
R27,The network shall provide a mechanism whereby calls may be assigned one of a number of different priority levels. (M)
R28,This mechanism shall allow calls with a higher assigned priority to override (pre-empt) existing calls of a lower priority. (M)
R29,Pre-empted calls will be discontinued and the new call of a higher priority shall be connected instead. (M) Closed user group
R30,The group of users who may access the facilities of the EIRENE network shall be limited. (M)
R31,Any user who is not within the list of allowed EIRENE users shall not be able to gain access to any of the functions and services provided by the network. (M) Call forwarding
R32,It shall be possible for an incoming call or data message for one user to be forwarded to another user using functionality provided by the network. (M)
R33,"In the case of voice calls, it shall be possible for the user who is attempting to forward a call to converse with the intended recipient prior to forwarding. (M)"
R34,The network shall allow the user to temporarily exit from an existing call by putting the call on hold. (M)
R35,It shall be possible for the user to re-join the call which is on hold at any time. (M) Call waiting
R36,"The network shall provide the ability to inform a user, who is involved in an existing call, of attempts by other users to contact them. (M) Charging information"
R37,"It shall be possible, using network management or maintenance facilities, to prevent individual users from: (M)"
R38,The EIRENE network shall also provide support for the following railway specific services:
R39,The network shall support all EIRENE-compliant mobiles. (M)
R40,The land-based part of the system shall provide communications for mobiles when stationary and when travelling at speeds up to the maximum allowable line speed or
R41,"The interconnection between the networks must, as a minimum, be compliant with applicable open specifications. (I)"
R42,"During the process of moving from one GSM-R network to another, the system must minimise the inconvenience to the user. (I)"
R43,The required call set-up times shall be achieved in 95% of cases. (M)
R44,Call set-up times for 99% of cases shall not be more than 1.5 times the required call set- up time. (M)
R45,Set-up times shall include the time required for any translation of functional numbers internal to the EIRENE network. (M)
R46,"It shall be possible to determine the area over which the call takes place by one, or a combination, of the following: (M)"
R47,"Any group or broadcast calls initiated in a given location shall be broadcast over an associated area based on the location of the call originator, and also to any fixed network numbers associated with the originating location. (M)"
R48,Mobiles configured for reception of railway emergency calls entering into a call area where a railway emergency call is ongoing shall automatically join this call. (M)
R49,"In any case, these national solutions must not conflict with those of the CENELEC Standard, in particular for the actions required from the drivers of trains passing the borders. (I)"
R50,"It shall be possible to operate all mobiles in the frequency bands around 900 MHz, allocated for use by the railways, and in the public GSM networks. (M)"
R51,Mobile equipment shall function correctly when travelling at speeds from 0 km/h to
R52,"However, stricter national standards shall not prevent the use of other EIRENE mobiles in that country. (M)"
R53,"All design, testing and installation of EIRENE mobile radio equipment shall comply with the quality procedures defined in ISO 90014. (M) Climatic conditions"
R54,"Any pressure pulses caused by vehicles passing, entering or leaving tunnels shall not affect the normal operation of EIRENE mobile equipment. (M) Physical conditions"
R55,"The design of EIRENE mobiles shall comply with the relevant European Norms for protection against physical hazards, eg: (M)"
R56,All EIRENE mobile equipment shall be capable of being operated on board rolling stock. (M) Electrical
R57,The batteries to be used in the mobile equipment shall have sufficient capacity to support typical railway use. (M) Electromagnetic Compatibility
R58,i Once a call has been established the connected parties shall be able to communicate. (M)
R59,ii Picking up the handset shall transfer the communication to the handset and reduce the loudspeaker volume to its minimum level. (M)
R60,iv A Push-To-Talk function shall be provided for use during group calls. (M)
R61,It shall be possible for the driver to initiate a call to any of the following types of controller with a minimum of driver action being required (eg a single keystroke): (M)
R62,"Once an appropriate destination has been obtained, the radio shall attempt to establish a call to this destination."
R63,The functional identity shall be displayed to the controller. (M)
R64,An audible and visual indication shall be provided to the driver that the call is proceeding. (M)
R65,The call shall be connected to the loudspeaker at the pre-set value. (M)
R66,"The functional identity of the connected party, if available, shall be displayed to the driver. (M)"
R67,"If the functional identity of the connected party contains an alphanumeric description, this shall also be displayed. (M)"
R68,"If the system is not able to connect the call, an audible and visual indication shall be provided to the driver that the call was not received by the controller."
R69,This shall also indicate if the called party was busy or if the network could not connect the call. (M) Call other drivers in the area (on other trains)
R70,It shall be possible for a driver to initiate and participate in group voice calls between drivers in a pre-defined geographical area. (M)
R71,A driver shall be able to initiate the establishment of a call to other drivers with a minimum of action (eg a single keystroke). (M)
R72,The group identity shall be displayed on the Cab radios of the participating drivers. (M)
R73,"Once connected, the driver shall be able to communicate with other driver(s) by using the Push-To-Talk button on the handset."
R74,An indication shall be provided to the driver as a reminder of the need to use the Push-To-Talk button on the handset if he wants to talk. (M)
R75,The call shall be connected to the loudspeaker until the driver picks up the handset. (M)
R76,"The call shall continue until terminated by the calling driver, an authorised controller or the network. (M)"
R77,"If the train moves out of the group call area whilst the call is in progress, an audible and visual indication of the loss of call shall be provided to the driver. (M)"
R78,"If the system is not able to connect the call, an audible and visual indication shall be provided to the driver. (M) Send Railway emergency call"
R79,It shall be possible for a driver to initiate Railway emergency calls (see section 13). (M)
R80,"If a train-borne recorder is connected to the Cab radio, details of the activation, termination and any failures of the emergency function shall be sent to the train-borne recorder as each event occurs. (M)"
