item,text
R1,(M) = Mandatory:The requirement shall be respected in every ETCS application.
R2,The applicable require ments stated in ETCS SRS and lower level mandatory specifications shall be respected. (O) = Optional :It is not mandatory to implement this function in every ETCS application.
R3,"If implemented, the applicable requirements stated in ETCS SRS and lower level mandatory specifications shall be respected."
R4,a ETCS shall provide the driver with information to allow him to drive the train safely. (M)
R5,b ETCS shall be able to supervise train and shunting movements. (M)
R6,c If the supervision is performed by a RBC it shall be possible to prevent movements of a traction unit in its area if not authorised by the RBC. (M)
R7,ETCS is required to be f unctional to a maximum train speed of 500 km/h. (M)
R8,a The following definitions shall apply for the ETCS application levels: (M) Level 0: ETCS active for limited train control function;
R9,b It shall be possible to implement one or more of the ETCS application levels on a line. (O)
R10,"c Trains equipped for ERTMS/ETCS application level 3 shall be able to run on lines equipped with ERTMS/ETCS application level 3, 2, 1 and"
R11,", trains equipped for ERTMS/ETCS application level 2 shall be able to run on lines equipped with ERTMS/ETCS application level 2, 1 and"
R12,and trains equipped for ERTMS/ETCS application level 1 shall be able to run on lines equipped with ERTMS/ETCS application level 1 and 0. (M)
R13,d The current application level shall be indicated on the DMI. (M)
R14,"The driver shall acknowledge the l evel transitions, if reques ted from trackside."
R15,If the driver does not acknowledge after the transition the brake shall be applied.
R16,ETCS shall be compatible with existing national systems listed in the CCS TSI such that it does not interfere with the national system s and is not interfered with by the national systems. (M)
R17,The ETCS trainborne equipment shall be capable of supervising the following operational states: (M)
R18,a Any transition which occurs while the train is moving shall in principle occur automatically.(M)
R19,"b Transitions which occur while the train is stationary, shall be initiated automatically or manually as appropriate. (M)"
R20,"d For transitions to and from National Operation (STM) the ETCS shall request, an acknowledgement by the driver.(M)"
R21,"e In case the transition has to be acknowledged and the driver fails to acknowledge as required, the ETCS shall initiate a brake application (M)"
R22,During the transition period between two operational states (including two different national operations) the supervision provided shall at least ensure the same protection provided by the least restrictive state. (M)
R23,"If an ETCS equipped train passes a level transition to a line fitted with more than one level, the onboard shall switch to the highest level ,"
R24,"If an ETCS equipped train passes a level transition to one or more levels for which it is not equipped, ETCS shall initiate a brake application.(M)"
R25,The current operational status shall be indicated to the driver on the DMI (M).
R26,The ETCS on-board shall be capable of receiving National values from the trackside to adapt to National requirements (M).
R27,National values shall be applicable to a defined area (M).
R28,Once received onboard the national values shall remain valid even if the onboard equipment is switched off (M).
R29,"If the on -board has no val id national values for the current location , default values shall be used by the onboard equipment.(M)"
R30,"Default values shall be harmonised values, permanently stored in all ERTMS/ETCS on board equipment (M)"
R31,"a At Start Up, t he on board equipment shall perform an automatic self-test. (M)"
R32,b The test shall require no action on the part of the driver. (M)
R33,c The DMI shall indicate the result of the self-test. (M)
R34,a Train data shall be entered before the on-board ETCS equipment allows train movement. (M)
R35,The driver shall be able to select Train Data Entry on the DMI. (M)
R36,a Entering or overwriting data manually by the driver shall be possible but only when stationary. (M)
R37,The driver shall be able to consult train data when the train is stationary or moving. (M)
R38,Current train data shall be stored (except at transition to shunting) in the ETCS equipment until the traction unit is not operative. (M)
R39,Stored train data shall be offered to the driver to be confirmed when Data Entry starts. (M)
R40,The system for Train Data Entry shall provide for the input of other data required by STMs connected to ETCS .
R41,a The entry of driver identification and the selection of the language shall be possible. (M)
R42,b The change of driver identification during a journey or a Train Running Number shall be possible (M)
R43,driver shall be able to perform shunting movements or train movements. (M)
R44,driver shall be asked to enter the RBC contact details (M).
R45,"An ETCS equipped traction unit shall be capable of being moved in Shunting without train data, track data or movement authority. (M)"
R46,a Transfer to Shunting on driver’s selection shall only be possible when stationary. (M)
R47,c To prevent unauthorised use of the function permission shall be obtained from the RBC if the train is operating under the control of the RBC. (M)
R48,d Permission received shall be indicated to the driver. (M)
R49,"It shall be possible to manually select Shunting from Stand By operation, Full Supervision operation or Partial Supervision operation (M)"
