item,text
R1,A system requirements specification states what must be accomplished to fulfill the vision described in a concept of ope rations (ConOps).
R2,The DUAP system must be able to cache the data after input such that it remains available for downstream processing.
R3,"The gathered information must be presente d to all users in “real-time”, meaning that the information is only valuable if it can be provided and acted upon quickly enough to reduce the impact of the event as it is occurring."
R4,"While this ability is of tremendous value in application research, operational policies will need to be established to protect the privacy and data ownership of the data originators."
R5,While this may not be a significant policy issue during system
R6,"Latency enters into the data collection process in several ways: • The time required for vehicle systems to collect and store vehicle data • The delay between the data collection and the data transmission from the vehicle to the roadside equipment (RSE) • The time required for the transmission of data from the RSE to the DUAP system • The time required for the DUAP system to process the data and publish it to other systems • The time between the DUAP processing and the transmission to the end systems While the VII data is much more timely and complete than data currently being processed, participants must recognize that VII data is “near real-time” data."
R7,Each system using DUAP data must be capable of evaluating the data based on the source and date/time stamps to determine the suitability of each data element for the intended purpose.
R8,Each application using the VII and DUAP data will need to have the capability of assessing the quality of data and making appropriate use of any available data quality flags.
R9,Requirements formulated with “…shall…” are direct requirements;
R10,those using “…shall be able to…” are conditioned on other requirements being fulfilled or on factors outside the control of the requirement’s subject.
R11,Table 3 – Input Services ID Function Source Comments Importance IS-010 The DUAP System shall collect probe vehicle data.
R12,H IS-010-005 The DUAP data elements shall include probe vehicle data fields corresponding to the SAE J2735 format as enumerated in APPENDIX C - SAE J2735 Probe Data Elements.
R13,H IS-010-010 The DUAP Input Services shall be able to collect probe vehicle data from the VII Proof of Concept (POC) Probe Data Service (PDS) using the X-031 interface.
R14,H IS-010-015 The DUAP Input Services shall be able to collect probe vehicle data from the Chrysler Fast Feedback (telematics demonstration) fleet using the Chrysler telematics interface.
R15,H IS-010-020 The DUAP Input Services shall be able to collect probe vehicle data from Southeast Michigan Snow and Ice Management (SEMSIM) using the SEMSIM interface.
R16,M IS-010-030 The DUAP Input Services shall be able to collect probe vehicle data from Suburban Mobility Authority for Regional Transportation (SMART) Transit using the SMART Transit interface.
R17,Michigan Department of Transportation VII Data Use Analysis and Processing System Requirements Specification ID Function Source Comments Importance IS-010-040 The DUAP Input Services shall be able to collect probe vehicle data from The Rapid Transit using the “The Rapid Transit” interface.
R18,D IS-010-050 The DUAP Input Services shall be able to collect probe vehicle data from Ann Arbor Transit using the Ann Arbor Transit interface.
R19,D IS-010-060 The DUAP Input Services shall be able to collect probe vehicle data from Detroit Department of Transportation (DDOT) Transit using the DDOT interface.
R20,D IS-010-070 The DUAP Input Services shall be able to collect probe vehicle data from the MDOT fleet using the MDOT probe vehicle data interface.
R21,M IS-010-080 The DUAP Input Services shall be able to collect probe vehicle data from truck fleets using the truck fleets’ interfaces.
R22,L IS-010-090 The DUAP Input Services shall be able to collect probe vehicle data from the car rental fleets using the car rental fleets’ interfaces.
R23,D IS-030 The DUAP System shall be able to collect weather data.
R24,H IS-030-022 The DUAP Input Services shall be able to collect weather data from the Road Commission for Oakland County (RCOC) Road Weather Information Systems (RWIS) using the RCOC RWIS interface.
R25,Michigan Department of Transportation VII Data Use Analysis and Processing System Requirements Specification ID Function Source Comments Importance IS-030-023 The DUAP Input Services shall be able to collect weather data from the MDOT RWIS using the MDOT RWIS interface.
R26,ConOps § 2.3.2.6 ConOps § 4.1 The MDOT RWIS system is currently being installed and should be able to provide data in 2008.
R27,L IS-030-024 The DUAP Input Services shall be able to collect weather data from Michigan Department of Natural Resources (MDNR) weather information systems using the MDNR interface.
