item,text
R1,They must be able to self-start without any source of off-site electric power and maintain adequate voltage and frequency while energizing isolated transmission facilities and auxiliary loads of other generators.
R2,Such Test Dispatch Notice shall be marked “Black Start Test Notice.” The Black Start Test shall be performed in accordance with the Ancillary Services Requirements Protocol in the CAISO Tariff.
R3,The CAISO shall not request a Black Start Test for a hydroelectric Unit during periods of constrained water availability.
R4,"The owner or operator of any Voluntary Black Start unit that desires a Black Start generating unit status with the CAISO Balancing Authority shall: • Demonstrate at least every five years, through simulation or testing, that the unit can perform its intended functions as required by the WECC BCP (if any) and of this testing section. • Submit documentation of the test results and analysis to the CAISO, WECC, or NERC upon any request. • Submit any past reports for Black Start tests with the CAISO and WECC. o Those Participants who do not currently test their Black Start capability, will be required to test their Black Start capability. • Within 24 hours of conducting a Black Start test, all Participants will notify the CAISO RT Dispatcher by phone indicating the success or failure of the test. • Within 14 days of performing a Black Start test, all Participants will file a letter with the CAISO regarding the success or failure of the test."
R5,"Testing records shall include the dates of the tests, the duration of the tests, and an indication of whether the tests met the requirements of this Black Start Testing section."
R6,The Black Start unit must have the ability to maintain voltage within emergency voltage limits over a range of loading from no external load to full external load in accordance with NERC reliability standards.
R7,The Black Start unit must be equipped with governors that are capable of operating in an isochronous mode.
R8,Adequate transmission capacity shall be available to connect the Black Start facility to the source providing station services to other specified generating stations.
R9,The Black Start unit must be capable of starting and energizing the applicable transmission path without assistance from the electrical system.
R10,"The following start-up/synchronizing time limits shall apply to the Black Start testing units: • Hydroelectric generating units or combustion gas turbines - within 30 minutes of the initiation of the Black Start process, • Industrial gas turbines - within 60 minutes of the initiation of the Black Start process, • Hot, steam-driven turbines, within 2.5 hours of the initiation of the Black Start process. • If the certified Black Start facility is in another reliability coordinator area or is comprised of an unspecified technology then specific start time limits are negotiated."
R11,All Black Start Generating Units must satisfy technical requirements specified by the CAISO.
R12,"The CAISO shall from time to time undertake performance tests, with or without prior notification."
R13,The CAISO shall have the sole right to determine when the operation of Black Start Generating Unit is required to respond to conditions on the CAISO Controlled Grid.
R14,Each of he four points must reside in a different hour of the test.
R15,"If… Then… The a Black Start unit did not successfully pass the CAISO Black Start criteria specified in this procedure, An explanation and a plan to address and correct the deficiency shall be provided to the CAISO by the generator owner/operator."
R16,The results of the testing and the justification for the periodicity of the testing shall be provided to WECC or NERC on request (within 30 days).
R17,"References ISO Tariff Section 8.3.3 Certification and Testing Requirements CAISO Operating Procedure G-203, Reliability Must Run Unit Commitment and Dispatch CAISO Operating Procedure G-213 Generator Certification Testing CAISO Operating Procedure G-213H Black Start Test Report Form CAISO Operating Procedure G-213I Black Start Process Flowchart NERC Reliability Standard EOP-005 System Restoration Plans EOP-009 Documentation of Blackstart Generating Unit Test Results"
