item,text
R1,"Throughout this section, every stated requirement must be externally perceivable by users, operators, or other external systems."
R2,"• The design of the PMS should be modular to simplify the design and implementation of expansions and replacements. • The PMS must be able to run on Linux, more speciﬁcally the Wilma web server. (http://wilma.vub.ac.be) • The web interface will be attractive, simple and standard (W3C XHTML [3]) • All functions and options of the PMS should be available in the least amount of clicks, while maintaining a certain amount of structure. • The used programming language will be ruby. • The code will be documented using RDoc. • Git will be used for conﬁguration management. • The use of frameworks is not allowed. • The PMS web interface will comply with the W3C XHTML 1.0 Transitional standard [3]. • Only free software can be used for the tools and for the end product."
R3,• The users must have a web browser that supports W3C XHTML [3] and have a TCP/IP connection to the web server. • The http traﬃc must be possible on the network connection between server and client. • Command line users have access to the server shell.
R4,• Summary: accessing the system from outside the VUB-network • Actors: everyone who wants to make use of the system • Preconditions: the actor needs a computer with internet access • Description: the actor gets a screen where he/she will be able to login • Exceptions: user must be registered and have a username and password • Result: the actor can login
R5,"• Summary: A user who has forgotten his/her password, can request a new one. • Actors: VUB-network users, Members , Publishers, Moderators and Administrators • Preconditions: the user must have registered before, he/she must have a valid username on the system. • Description: – the actor chooses to change password – the actor ﬁlls in his user name and enters a new password – the actor conﬁrms • Exceptions: no valid username on the system • Result: an email is sent to the Administrator"
R6,"• Summary : obtain a copy of the full text of a publication resulting from a search done on the system • Actors : VUB-network users and Members , Publishers, Moderators and Administrators • Preconditions : having entered the detailed view screen of a publication • Description : in the detailed view screen of a publication : the actor displays the full text of the publication by clicking the full text button just under the abstract. • Exceptions : full text must be available in the system • Result : the actor will see the full text of the publication."
R7,"• Summary : possibility to modify information of your own publications by a Publisher • Actors : Publishers , Moderators and Administrators • Preconditions : the actor needs to be logged in to the system and has done a ”My Publications” search • Description : – in the results screen : the actor chooses a publication from the list, edits the publication and conﬁrms his changes. – via the My Publications search : the list of Publisher publications will be displayed and editing is possible by ticking the ”edit” box • Exceptions : only for publications owned by the actor • Result : changes are applied to the publication in the system."
R8,• Summary : delete an existing group in the system • Actors : Administrator • Preconditions : the group must be empty (no users) • Description : – Administrator selects the Delete Group function – Administrator ﬁlls in groupname – System shows group details – Administrator conﬁrms • Exceptions : the groupname does not exist in the system or the group is not empy • Result : the group is deleted in the system
R9,"It’s very important to keep the database consistent at all times: no pointers to deleted records, no redundant information, etc The database must be capable to handle serveral requests at once, these requests happen by using SQL-statements."
R10,• The PMS web interface must be conform W3C XHTML 1.0 Transitional standard [3]. • The implementation must be compliant with the Coding Conventions of SE1 [10]. • The implementation must be object-oriented. • Design diagrams must be made following the UML standard [11].
R11,• The PMS is developped so that it should not experience software faults.
R12,In case of another failure (hardware or software related) the problem should be ﬁrst solved and afterwards the PMS should be reinitialized.
R13,Nobody except the speciﬁc user should be able to log into that account and change personal information. • The password of the user should be encrypted when submitted from user to server.
