item,text
R1,"When a contracting authority publishes a contract notice, it shall include the selection, qualification and non- exclusion criteria."
R2,Therefore the contracting author ity must either specify the documentation that has to be submitted by economic operator or the criteria of qualitative selection and exclusion that have to be fulfilled by the economic operator.
R3,So the link between individual evidences and the respective criteria they may approve for (as listed above) must be precisely i ndicated and mapped in order to support economic operators in their activity.
R4,"Hence, the Economic Operator must di rectly get the authentic co ntract notice and exact conditions from the Contracting Authority in order to avoid a failure on interpreting the requirements for participation."
R5,• documents that must be access ed by the contracting authority from the official source.
R6,"The creation of uniform infrastructure in this heterogeneous domain will take some time as several different environments and stakeholders need to be involved, and change may not be enforceable to all of them."
R7,The VCD specification must be generically and semantically extensible in order to reach a sustain able and fully-fledged solution in the final stage.
R8,An eTendering system and a contracting authority must be able to interpret a VCD package assembled by a VCD application regardless of the implementat ion stage of the VCD app lication and the eTendering system.
R9,Expansion of call for tender notices with the formal representation of selection and exclusion criteria. pre-VCD mapping tool A facility activated and operated by a European service provider to provide a widely available mapping tool which Transparency for economic operators and contracting authorities through semantic mapping Indication of mutual Such pre-VCD mapping tool needs to be implemented Agreements and decisions to be found
R10,"To handle the large set of ruling articles, which may especially vary in the national implementations (a rticles 47-50), arts 45 and 46 shall get a higher priority for a smooth implementation at first h and, while arts 47 to 50 will only be selectively implemented on the basis of specif ic and deeper analysis in the P EPPOL pilot contexts."
R11,Thus the criteria may have to be iteratively re- defined according to the results given by specific mappings. • A standard representation of common criteria of qualitative selection and exclusion MUST be defined according to Articles 45-50 of Directive 2004/18/EC.
R12,They have to be formulated in a way that they can be mapped to common European criteria for qualitative selection and exclusion mentioned by the Articles 45-50. • National requirements for qualitative selection an d exclusion MUST correspond to the EC criteria given in Article 45-50. • National criteria for qualitative selection and exclusion SHOULD have the right granularity and should be consistent among themselves. • Input for the current function is taken fr om the National Public Procurement Acts.
R13,For the overall activity it will be important to have the appr opriate legal support in order to ensure legitimacy of mappings. • A template that ensures comparable and reli able mappings between criteria for qualitative selection and exclusion and national attestations MUST be defined. • The members of this work package MUST perform the mapping between national attestations and European criteria of qualitative selection and exclusion. • The resulting template has to be computable by machines and readable by humans allowing the assembly of VCD packages through manual and/or automated operations.
R14,"Compliances to national and European conditions must be ensured in particular for the definition of a standard representation of common criteria of qualitative selection and exclusion, the definitio n of a mapping template and the mapping between national attestations and the common criteria for qualitative selection and exclusion. • Legitimacy of standard representation of common cr iteria of qualitative selection and exclusion MUST be ensured. • Legitimacy of standard mapping template MUST be ensured. • Legitimacy of mapping between national attestati ons and common criteria for qualitative selection and exclusion MUST be ensured."
R15,A decision to deploy either a centralised or a de centralized infrastructure that provides the mapping service MUST be made. • By which technical means will the mapping be provided?
R16,It MUST be defined by which technical means the mapping service will be provided. • Which entity will host the mapping facility?
R17,An entity that hosts the mapping facility MUST be defined in dependence of the type of infrastructure and the dedicated governing model.
R18,"A governing model with the necessary status and powe r MUST be formally defined in order to ensure fulfilment of functions like liability, sustainability and maintainability. • Liability: In law a legal liability is a situation in which a person or organisation is financially and legally responsible."
R19,• The Liability of organisation that governs the infrastructure and mapping facility MUST be defined • Sustainability: Sustainability is the capacity to maintain a certain process or state into the future.
R20,The governing model must ensure that the state of the mapping system will be kept over time.
R21,Therefore the mapping system has to be based on the commonly agreed mapping and no changes are allowed without a common agreement. • The mapping facility MUST ensure sustainabilit y of the system over time based on commonly agreed mapping schemes. • Maintainability: The mapping has to be easily maintainable which could be of interest in the case of changes of the legal basis on national or Eur opean level.
R22,Moreover an organisation or institution that governs the process of change management has to be defined. • A formal procedure to make changes to the system MUST be defined.
R23,"Therefore each national service provider that provides a VCD (stage 2-4) and all relevant key other stakeholder such as economic operators, contracting au thorities and certifiers must be able to retrieve the latest mapping information from the mapping facility."
R24,"The mapping facility MUST be accessible to all relevant key stakeholder s such as economic operators, contracting authorities, certifiers and national service providers."
R25,"Besides such functionalities of the tool, some general requirements regarding the operation of the pre- VCD mapping tool have to be implemented: • The Member States shall agree on a common re presentation format for the information they intend to supply into the knowledge base supporting the tool’s operations. • The Member States shall supply the informat ion generated from the analysis of the national context they represent. • The Member States need to update the mapping in case of any change within a short time frame (e.g. five days after a legal change has been put into force). • The European service provider for the pre-VCD mapping tool has to ensure that European legal changes are implemented quickly (e.g. within five days after enforcement). • The European service provider takes respon sibility of the operative implementation and compliance of the mapping model implemented in the pre-VCD mapping tool with the respective European and national conditions."
R26,"Hence, it must be established and funded with clearly defined responsibilities for maintenance and conformance assessment between national solutions. • The European service provider sets up a form al definition of the tool generated results. • The European service provider defines the criteria for a “service contract” to be formally agreed with “users”."
R27,"The formal commitment must in turn specify what is taken as pure guidance or qualified template. • The contracting authority can as well use the mapping in order to check if the attestations handed in by an economic operator of another coun try are sufficiently evidencing those selection and exclusion criteria defined for the tender. • Through the pre-VCD mapping model, it will also be possible to identify the major issuing bodies of particular evidence."
R28,Furthermore the VCD package needs to provide the ability to be human readable thus a VCD vi ewing system is introduced in this stage too.
R29,Identity and access management is required to be done externally in a manual process that will verify the requestor’s identity before providing user righ ts and access.
R30,"Sensitive economic operator data must initially be provided by an economic operator (e.g. company registration number, VAT number, social insurance number of the company etc.) in order to create an account and to start any VCD packaging service."
R31,The transportation system of WP8 used by the VCD should be able to provide a po ssibility to send the VCD package directly to the contracting authority either by utilizing the upload fu nctionality of a procurement platform or by directly sending the VCD to the contracting authority by using other means provided by the transportation system or typically used by the contracting authority.
R32,There needs to be a specific registration procedure where an economic operator provides eco nomic operator data to t he VCD service provider in order to create an account.
R33,Requirements: Application for VCD account • Identity and access management MUST provide a functionality to register an economic operator in a formal procedure in order to create a VCD account. • Identity and access management MUST provide an interface to submit sensitive economic operator data (for example by uploading attestations that verify sensitive economic operator data) in order to allow the economic operator to apply for the creation of a VCD account. • Sensitive economic operator data MUST be veri fied through a formal procedure by an officer.
R34,Requirements: VCD account management • An officer has to create a VCD account for the economic operator. • Sensitive economic operator data MUST be placed to a VCD account by an officer. • Identity and access management MUST provide a functionality that enables the economic operator to receive his log-in data. • The authentication within identity and access management SHOULD provide a single-sign on functionality that can be used across other systems. • A change procedure MUST be defined in order to m odify sensitive economic operator data that is connected to the VCD account. • The economic operator MUST be able to delete his account.
R35,Quality attributes of Identity and access management • It MUST be clearly defined which economic opera tor data are sensitive and belong to identity and access management. • A single-sign on SHOULD be implemented in order to allow identity and access management across different systems. • The identity and access management procedu res for creating a VCD account SHOULD be harmonized with the registration procedure of the overall infrastructure provided by WP8.
R36,Requirements: Initialization of VCD Request • The VCD System SHOULD make use of a single-si gn-on interface and function in order to submit login data. • The VCD system MUST provide a functionality to check through identity and access management whether an economic operator has sufficient user rights to access his account.
R37,"05-19, Version 1.0 – pending EC approval • The VCD system MUST provide an interface where the economic operator can provide non- sensitive economic operator data. • The VCD system MUST provide an interface wh ere tender-specific data can be either fetched from or be provided through (e.g. criteria of qualitative selection and exclusion). • The VCD system MUST provide an interfac e where the economic operator can request the creation of a VCD package."
R38,Requirements: Arrangement of VCD instance • The VCD system MUST have an interface to receive and process the information (mapping of evidence) provided by the pre-VCD mapping tool. • The VCD system MUST provide a functionality t hat suggests a possible compilation of the VCD to the economic operator according to the tender-specific criteria. • The VCD system MUST provide a functionality where the economic operator can decide which particular attestation services should be invoked and collected. • The VCD system MUST provide a functionality that displays the attestati on services that cannot be invoked automatically and that have to be manually added by the economic operator.
R39,Requirements: Collection of Evidence • The VCD system must provide a functionality to request attestations that can be collected automatically via an issuing body. • The VCD system MUST have an interface/technical access to retrieve attestations that can be automatically retrieved from issuing bodies. • The VCD system MUST have a functionality to extract structural data of evidence from attestations that can be retrieved automatically. • The VCD system MUST have an interface to s ubmit/upload evidence that have to be provided manually by the economic operator. • The evidence submitted to the VCD system MUST correspond to the mapping information suggested by the VCD system (or the pre-VCD mapping tool). • The VCD system MUST provide an interface where an economic operator can add structural data of evidence that belong to specific evidence. • The VCD system SHOULD provide an interface wh ere a translator/economic operator can submit certified translations to specific evidence. • The VCD system MUST provide and interface where the economic operator can initiate the compilation process.
R40,"05-19, Version 1.0 – pending EC approval Requirements: Compilation of VCD instance • The VCD system MUST provide a functionality to compile various data formats from various sources (issuing bodies) into a single VCD package."
R41,The VCD package MUST provide a functionality to add structural VCD package data to the VCD package and VCD system (e.g. log file) during the compilation process.
R42,The VCD package MUST provide a functionality to add tender-specific data to the VCD package and VCD system (e.g. log file) during the compilation process.
R43,The VCD package MUST provide a functionality to add economic operator data to the VCD package and VCD system (e.g. log file) during the compilation process.
R44,The VCD package MUST provide a functionality to add structural data of evidence to the VCD package and VCD system (e.g. log file) during the compilation process
R45,The VCD package MUST provide a functionality to add evidences to the VCD package and VCD system (e.g. log file) during the compilation process.
R46,The VCD package MUST provide a functionality to add translations to the VCD package and VCD system (e.g. log file) during the compilation process. • The VCD system MUST provide a functionalit y to notify the economic operator when the compilation process is finished. • The VCD system MUST provide interfaces to deliver the VCD to the economic operator.
R47,Quality attributes of VCD system • VCD system MUST be operated by at l east one national VCD service provider • The VCD system MUST have the status of a trusted system. • The national VCD service provider that hosts the system must have the status of a trusted entity. • Direct access to attestations issued by (national) issuing bodies MUST be established through organisational agreements (e.g. service level agreements). • Technical access to the relevant attestations issued by (national) issuing SHOULD be supported through national law. • The compilation suggestion that is given to the economic operator by the VCD system MUST be reliable with regard to fulfilment of tender-specific requirements. • It has MUST be clearly defined which economic operator data are not-sensitive and belong to VCD system. • User rights for the VCD system MUST be defined. • Structural data of evidence MUST be defined. • Semantic interoperability of structural data of evidence SHOULD be ensured through an agreement procedure among the WP partners. • The evidence submitted to the VCD system MUST be eligible for the requirements mentioned by §§45– 46 of European Directive 2004/18/EC.
R48,"05-19, Version 1.0 – pending EC approval • The VCD transportation system MUST provide a functionality that enables both parties involved, contracting authorities and economic operators, to authenticate to the VCD transportation system before using it. • The authentication to the VCD transportation system SHOULD make use of single-sign-in interface and function in order to submit login data."
R49,Requirements: Exchange of VCD packages • The VCD transportation system MUST provide a functionality that enables the economic operator to find an electronic address of a contracting authority for receiving VCD packages. • The VCD transportation system MUST have an interfac e to connect to it in order to submit the VCD package to a contracting authority. • The VCD transportation system MUST provide a func tionality that supports the economic operator in submitting the VCD package to a contracting authority. • The VCD transportation system SHOULD provide a functionality that supports the economic operator in submitting the VCD pa ckage to a contracting authorities’ procurement platform where the tender/bid has to be placed. • The transportation system MUST provide an inte rface that enables contracting authorities to receive a VCD.
R50,"Quality attributes of VCD transportation system • Both parties involved, contracting authorities and economic operators, MUST have an electronic address for receiving/sending VCD packages. • The transport of a VCD package MUST be initiated by the economic operator. • The choice of how to submit the VCD package to the contracting authority MUST be the one that is preferred by the economic operator. • Beside the transportation system (WP8) the ec onomic operator SHOULD be able to use other electronic channels for submitting a VCD package to the contracting authority. • It MUST be clarified which possib ilities exist to utilize the infras tructure for submitting a VCD package directly to procurement platforms (e.g. via VPN). • The transportation system MUST ensure that the VCD package is being delivered to the contracting authority • The transport of a VCD package MUST be confidential. • The transport of a VCD package MUST be reliable. • The transport of a VCD package MUST be secure. • The transport of a VCD package MUST ensure that the package has not been altered or modified during transportation or validation. • Non-repudiation of origin of a VCD package MUST be supported. • A VCD will carry a unique identifier and information about security and quality enhancing policies used by the certified VCD Service Provider when compiling the file."
R51,Requirements: Authentication to VCD viewing system • The VCD viewing system MUST provide a functionality to authenticate contracting authorities to view the data contained within a VCD package. • The authentication to the VCD viewing system SH OULD make use of single-sign-on interface and function in order to submit login data.
R52,Requirements: View VCD The VCD viewing system MUST provide an interfac e that adequately displays various types of data formats contained within a single VCD package. • The VCD viewing system MUST display stru ctural VCD package data contained in the VCD package • The VCD viewing system MUST display tender -specific data contained in the VCD package • The VCD viewing system MUST display economic operator data contained in the VCD package • The VCD viewing system MUST display tender -specific data contained in the VCD package • The VCD viewing system MUST display structural data of evidence contained in the VCD package • The VCD viewing system MUST display evidences contained in the VCD package • The VCD viewing system MUST display translati ons of evidences contained in the VCD package
R53,Quality attributes of viewing system • Member State of this work package SHOULD follow a common standard representation of the different types of data • Member State of this work package SHOULD define a national version of the common standard representation of the different types of data. • Any standard representation of the different types of data MUST be agreed upon the pilot partners. • A method (e.g. reverse engineering) to develop a standard representation of the different types of data SHOULD be defined. • A method for the versioning of the development of this common standard schema SHOULD be found.
R54,"In order to be able to compile a VCD advanced package, the VCD compilation process must be extended to be able to process data fr om existing VCD packages of ot her economic operators and to process the context specific data that are included."
R55,The enhanced and automated documents’ readability that comes from the context specific data must be compared to the local legal provisions and document checking practice adopted by contracti ng authorities.
R56,"Requirements: context specific data • A VCD system MUST provide functionality to collect and process context specific data for evidence that has to be provided manually or semi-automatically by the issuing body, by the economic operator or any trusted third party. • A VCD system MUST provide functionality to collect and process context specific data for evidence that has to be provided automatically by the issuing body. • A VCD system MUST provide IT-interfaces to is suing bodies which provide evidences in machine interpretable format. • A VCD system MUST interact with the issuing bodies which provide evidences in machine interpretable format through IT-interfaces. • A VCD system MUST provide a user interface to the issuing body to provide context specific data for an evidence in a structured form (e.g. web-interface, XML-file-upload). • The VCD system MUST provide a functionality to validate the provided context specific data during the submission process of context specific data to ensure the data is consistent with the VCD advanced package schema. • Interfaces MUST be defined to retrieve contex t specific data from issuing bodies either automatically or semi-automatically. • Interfaces SHOULD be defined that enable nati onal VCD service provider s to approve context specific data if they decide to take the role of a trusted third party. • The rule set derived from legal requirements concerning “evidence checking” MUST be defined. • The rule set allowing for a Stage 3 mapping among concepts expressed by the “context specific data” MUST be defined. • The rule set derived from legal requirements concerning subcontracting and other consortium constellations MUST be defined • A functionality to display context specific data SHOULD/MUST be included within any VCD."
R57,"05-19, Version 1.0 – pending EC approval • Evidences that have a simple structure and limited variety of contents MUST be included into the common standard schema first. • WP2 SHOULD provide easy solutions for transfor ming the contents of context specific evidence into simple context specific representations (e.g . a Balance sheet can have several values but an easy representation could be the fu lfilment of certain ranges for example below 1 Million / from 1 Million to 10 / …). • A semantic definition of each element/class of the common standard schema of context specific data MUST be created and has to ensure a common understanding. • A semantic definition of each element/class of the common standard schema of context specific data MUST ensure that these data is mutually recognized as replacement of the official translation of an evidences included. • A method and agreement procedure to develop a common standard schema of context specific data MUST be defined."
R58,This procedure must cover the technical aspects of data analysis (e.g. reverse engineering) as well as the organizational aspects (e.g. which context specific data is required from contracting authorities or under which circumstances would they would replace certified translation of evidence by context specific data). • Any common standard schema of context specif ic data classes MUST be agreed upon the pilot partners. • Representation of context specific data SH OULD be available in multiple languages • Every pilot partner MUST follow the common standard schema of context specific data by defining a national version of it. • A method for versioning the development of co mmon standard schema of context specific data SHOULD be found.
R59,"Requirements: Advanced VCD creation service • A VCD system MUST provide a user-interface to the economic operator to initiate the creation of a VCD advanced package. • A VCD system MUST provide a user-interface to the economic operator to provide existing VCD packages of other economic operators when specific disclosure options have been activated. • A VCD system MUST provide a functionality to ch eck, whether the structural VCD package data of existing VCD packages of other economic opera tors are consistent with the VCD advanced package schema of other economic operators, or not • A VCD system MUST provide a functionality to ch eck, whether the tender specific data of existing VCD packages are consistent with the tender specific data of other VCD packages. • A VCD system MUST provide functionality to me rge the following data from several existing VCD packages of other economic operators:"
R60,"05-19, Version 1.0 – pending EC approval • A VCD system MUST provide functionality to co mpile the data which result from the evidence collection process and the data provided by the economic operator in the VCD advanced package creation."
R61,Authorized translation of evidence Quality attributes: Advanced VCD creation service • Merging of VCD simple packages and VCD advanced packages into a VCD advanced package SHOULD be possible
R62,Requirements: VCD re-compilation service • A VCD system MUST provide a user-interface to the economic operator to initiate the re- compilation of an existing VCD package into a VCD advanced package. • A VCD system MUST provide a user-interface to the economic operator for uploading an existing VCD package • A VCD system MUST provide a functio nality to decompose an existing VCD package • A VCD system MUST provide a functionalit y to identify outdated or obsolete evidences • A VCD system must provide a functionality to re trieve actual instances of outdated evidences Quality attributes: VCD re-compilation service • Re-compiling a VCD simple package into a VCD advanced package MUST be possible • Re-compiling a VCD advanced package into a VCD advanced package MUST be possible • A VCD service provider SHOULD be trusted to correctly process unstructured evidences into (structured) context specific data by manual means in order to create context specific data using the semi-automated approach.
R63,"An important point to ensure the acceptance of this approach is to establish or expand the trust in national VCD services cross borders: • In stage 1 contracting authorities are required to trust the provided evi dences, issuing bodies, translators and the correctness of the international mapping • In stage 2 contracting authorities are required to trust the national VCD se rvice providers as they are responsible for the compilation of VCD packages containing valid (not outdated) evidences or other evidences which are suitable to give evidence for the required criteria • In stage 3 contracting authorities are required to expand their trust into the national VCD service providers as they are responsible for t he compilation of VCD packages containing context specific data which augment the evidence content."
R64,"To avoid political and techni cal questions with regard to federated networks, the access to attestations services should be done indirectly through the national VCD service provider."
R65,"In order to ensure the level of completeness, the VCD network package needs to be extended stepwise by including evidences which ar e sufficiently described through agreed and standardised context- specific data and structural data of evidence (and which can easily be validated by the national VCD service provider when he accredits economic oper ators according to Article 52)."
R66,"Contracting authority can have selective access to specific attestations Contracting authority can potentially request updates on specific attestations more easily Mechanisms of authorizing contracting authorities need to be implemented into the VCD system or the VCD itself Higher requirements on data confidentiality, data availability, non-repudiation and data integrity Standardization and agreement on well working context specific data Mechanisms to identify economic operators, national VCD service providers and contracting authorities in order to indentify / authenticate them and to grant access to retrieve attestations."
R67,Feature: Mandate contracting authority • The VCD system MUST provide functionality and an interface to the economic operator that enables him to mandate a certain contracting authority to request attestations on demand.
R68,"Feature: Storing attestations and referencing to it • The VCD system MUST detect which attestations can be used by this feature (e.g. they have to be sufficiently described through context specific data and structural data of evidence). • The VCD system MUST provide a functionality that enables National VCD Service Providers to store attestations. • A functionality for referencing to attestations MUST be implemented within the VCD system. • The VCD system MUST ensure that a contracting authority is able to request attestations via the provided reference (including time-restrictions). • The functionality for referencing to attestations within the VCD MUST be implemented, either VCD-specific or contracting au thority-specific, in order to approve whether the contracting authority has sufficient rights for requesting the attestations. • VCD-specific or contracting author ity-specific reference to attestations MUST be stored within the VCD system (processing instructions)."
R69,Feature: Retrieving attestations on demand • The VCD system MUST provide a functionally to check whether a contracting authority has sufficient rights and has been mandated by the economic operator to retrieve attestations. • The VCD system MUST provide a functionalit y and an interface that enables contracting authorities to retrieve the attestation from the storage. • The VCD system MUST ensure that the attestation that is requested by the contracting authority is still valid at the time of awarding or when the Call for Tender is closed.
R70,"05-19, Version 1.0 – pending EC approval • The VCD system MUST provide a functionality that initiates a conflict resolution process between economic operator and contracting authority if e rrors occur or when certain attestation or a translation cannot be delivered on demand."
