item,text
R1,All electr onic reports from UK fishing vessels are required to be transmit ted to the Electronic Recording and Reporting Syste m (ERS) of the UK fisheries administrations as appropriate in order to comply with the applicable fishing regu lations.
R2,The ELSS must capture all data necessary for recording the fishi ng activities undertaken by a UK fishing vessel.
R3,The ELSS must output the data as an XML file for transmission to the UK fisheries administrations’ ERS system.
R4,The ELSS data must be validated against the UK XML/XSD before transmi ssion from the fishing vessel.
R5,The ELSS data must be transmitted at the required times set out below in Section 2.5.1.
R6,There are four main Data Operations required to be processed by the ELSS.
R7,The data definitions for each report type that are required to be transmitted from the ELSS of a UK fi shing vessel are to be found in the annex to this specification.
R8,The ELSS may also provide the means for recording additional da ta but this must not interfere with the data capture and submission functions as set out below.
R9,"The ELSS must provide data capture screens for the entry of the logbook, transhipment and landing declaration data that is required to be transmitted to the UK fisheries administrations’ ERS system."
R10,The ELSS must use English (UK) localizations for all UK Electronic Logbook features.
R11,All dates and times must be UTC.
R12,The ELSS must provide the ability to print out the ELSS logbook data (including landing declarations) using an onb oard printer.
R13,The ELSS must provide a means so that electronic print files are protected so that they cannot be modified in any way once generated and distributed.
R14,The ELSS must provide Electronic Logbook data for transmission t o the UK fisheries administrations’ ERS system in accordance with the frequency requirements defined below (Section 5.1).
R15,"The ELSS should at least be able to transmit data via email, either by being included in a packaged solution with an email system or by linking with an existing on-board emai l service."
R16,Data is required to be emailed as an xm l document attached to an email with a standard Subject header and sent to the email address of the UK fisheries administrations’ ERS system.
R17,The subject header must consist of a character string containing ‘ERS – ‘ prefixed to the contents of the GBRRN attribute of the Electronic Logbook data being tran smitted.
R18,All xml documents attached to emails to the UK fisheries administrations’ ERS system must be encrypted using PGP.
R19,"I f an alternative is proposed, this should be advised to the Validation Authority and if feasible and practicable the UK Fi sheries Administrations will endeavour to extend their ERS system to accommodate alternative methods."
R20,The ELSS must permit the Master of the vessel to generate format ted data for transmission to the UK fisheries administrations’ ERS system.
R21,"There are 2 categories of transmission, those that must be generated automatically by the ELSS and those that can be generated and transmitted under the control of the Master of the vessel."
R22,The ELSS must provide facilities to capture and deliver for tran smission corrections to previously successfully transmitted data.
R23,Data corrections must not be transmitted piecemeal;
R24,the entire report containing one or more corrected items must be transmitted.
R25,All corrections must be easily identifiable within the ELSS user interf ace.
R26,The ELSS must only permit correction messages to be generated an d sent for reports sent during a current trip up to the submission of the End of Fishing report for that vo yage
